arm: kilota 
bad: omóniya 
bad: omóniya 
bird: nol 
black: nomopoka 
blood: xamëngka 
blood: xaməŋka 
bone: kamënangkil 
bone: kamənaŋkil 
breast: nëmai 
breast: nəmai 
child: wuko 
come: ra 
dog: nëmpo 
dog: nəmpo 
ear: muŋkwalnta 
ear: munkwalnta 
earth: pëlokwo 
earth: pəlokwo 
egg: nëngkoi 
egg: nəŋkoi 
eye: juwol 
eye: ǯuwol 
father: noni 
fire: ni 
good: yiluwana 
head: paikwa 
I: ku 
leg: safiel 
louse: watokël 
louse: watokəl 
man: kamwol 
moon: uni 
mother: nu:ka 
mother: nuːka 
nose: tuwarka 
rain: wul 
red: xamëngka 
red: xaməŋka 
see: ti 
skin: jiwota 
skin: ǯiwota 
smoke: uwo 
star: yowampal 
stone: kitámpa 
sun: wota 
thou: yi 
tongue: naliya 
tooth: nai 
tree: numwol 
two: piyami 
walk: ma 
water: wul 
white: walwalka 
wind: matei 
woman: wukora 
