bad: ko 
big: anda 
big: andá 
blood: kejép 
blood: keǯep 
cut: karun 
cut: karún 
eye: el 
father: a:b 
father: aːb 
foot: anga 
foot: aŋa 
good: eve 
good: evé 
hair: iri 
head: wendjuba 
head: wenǯuba 
he/she: ngo 
he/she: ŋo 
hit: luruk 
hit: lurúk 
I: ni 
long: chor 
long: čor 
man: ab 
moon: ej 
moon: eǯ 
mother: am 
mother: anyi 
mother: anǯi 
name: bi 
rain: če 
rain: che 
see: -ubuːk 
see: ubu:k 
short: hi 
small: kangk 
small: kaŋk 
star: manfinš 
star: manshinsh 
sun: nar 
they: mindi 
thou: anyi 
thou: ye 
walk: mban 
walk: pu(k) 
walk: pu(k)! 
water: ip 
we: na 
we two (incl.): ya 
we two: ya 
woman: ten 
you: anyi 
