all: gjithë | gjithë	i gjithë	tërë	čdo 
and: e | dhe	e	ðe’ eðe 
animal: kafshë | bišə	kafshë	kafšə 
at: te | në 
back: shpinë | kur̃iz	shpinë	špinə 
bad: keq | i kekʸ	i lʸig	keq 
bark: leh | korë	lehje	žarg	’blore	’c̷ire	’kore 
big: madh | i mað	madh 
bird: zog 
bite: kafshoj | kafshoj	kaf’šon 
black: zi | i zi	zi	’ster̃ə 
blood: gjak | TEk	gjak	gʸak 
blow: fryj | frün	goditje 
breast: kraharor | Toks	gji	gjoks	gʸi	sisë 
burn: djeg | c̷uks	të djegur 
child: fëmijë | fëmijë	fə’miyə 
cold: ftohtë | ftohtë	i ’ftohtə 
come: vij | vij	vijnë	viy	vyen 
correct: korrekt | dreyt	i djathtë 
day: ditë | ditë	’ditə 
die: vdes | esin	i ’vdekur	vdEs	vdes	’vdekye 
dirty: papastër | i fə’likʸət	i pistë	i ’ndürə 
dog: qen | TEn	kʸen	qen 
drink: pi 
dry: thatë | i thatë	i ’θatə	thatë 
dust: pluhur | pluhur	’pluhur 
earth: tokë | dhe	dhé	tokë	ðe	’tokə 
ear: vesh | dëgjim	vES	vesh	veš 
eat: ha | ha	ngrënë 
egg: ve | ve	vezë	’vezə 
eye: sy | si	sy	sü 
fall: bie | bie	bien	ra	r̃ə’zohet 
far: larg | e largët	larg	lʸarg 
father: atë | at	atë	baba	ba’ba	krijues	themelues 
feather: pupël | pendë	pupël	’pendə 
few: disa | i pakët	pak 
fight: luftoj | luftuar	lʸuf’ton	’r̃ihet	’zihet 
fire: zjarr | zjarr	zyar̃	zy~ar 
fish: peshk | pESk	peshk	pešk 
five: pesë | pesë	pésë	’pesə 
flower: lule | lule	’lʸulʸe 
flow: rrjedh | rrjedhin	r̃yeð	zbraz 
fly (v.): fluturoj 
foot: këmbë | këmbë	’kəmbə 
forest: mal | pyll	pül 
four: katër | katër	kátrë	’katər 
freeze: ngrij | ngrirë 
fruit: pemë | frutë	früt	’pemə 
full: plotë | i mbushur	i plotë	plot3	plotë	’plʸotə 
give: jap | dhënë	jap	yep 
good: mirë | i ’mirə	mirë 
grass: bar 
green: gjelbër | gjelbër	i ’blertə	i ’gʸelʸbər 
hair: flok | flok	flokë	lesh	lʸeš	qime	’flʸokə 
hand: dorë | dor3	dorë	’dorə 
head: kokë | kokë	’kokə	’krüe 
he: ai 
hear: dëgjoj | d3Toy	dëgjoj	dëgjuar	də’gʸon	’ndien 
heart: zemër | zemër	’zemər 
heavy: rëndë | i ’rəndə	rëndë 
here: këtu 
hold: mbaj | mbajë	mban 
