arm: natekya 
belly: wulpa 
bird: walfisa 
blood: wiyefa 
bone: yefa 
breast: maka 
child: anisa 
dog: mpat 
ear: rakun 
earth: hapa 
egg: laʔw 
egg: la\wo 
eye: napelkë 
eye: napelkə 
father: yinisa 
fire: yafa 
head: utüwe 
head: utüwe 
he/she: apan 
I: ai 
leg: itikya 
louse: hipëp 
louse: hipəp 
man: mohon 
moon: anifəʔ 
moon: onifë\ 
mother: nuwisa\ 
mother: nuwisaʔ 
nose: luweka 
rain: wiyë 
rain: wiyə 
skin: halipa 
smoke: përka 
smoke: pərka 
star: epun 
stone: paleka 
sun: fala 
thou: ipip 
thou: is 
thou: i-s 
tongue: elktife 
tooth: parkita 
tree: lowë 
tree: lowə 
two: olo\w 
two: oloʔw 
water: hipelë 
water: hipelə 
we: apap 
we: a-pap 
wind: ërpunë 
wind: ərpunə 
woman: nuwete\ 
woman: nuweteʔ 
you: i-pip 
