arm: meu 
bad: fay 
belly: ponna 
bird: nawra 
black: ko:li 
black: koːli 
blood: fampwi 
bone: amla 
breast: nimla 
child: mala 
come: i 
dog: pa:la 
dog: paːla 
earth: piye 
ear: tipi 
egg: amu 
eye: namla 
father: aya 
fire: ni:pi 
fire: niːpi 
give: ane 
good: wolmela 
head: selë 
head: selə 
he/she: one 
I: i 
leg: teu 
louse: munola 
man: mama 
man: mana 
moon: anini 
mother: ama 
nose: suwla 
rain: ti:pëla 
rain: tiːpəla 
red: fampúi 
red: fampúi 
see: wane 
skin: plapi 
smoke: apasie 
star: tosoila 
stone: ta:ma 
stone: taːma 
sun: ayre 
they: none 
thou: po 
thou: yo 
tongue: alfoi 
tooth: nala 
tree: silo 
two: plale 
walk: ai 
water: fa:la 
water: faːla 
we: mo 
white: talpo 
wind: ta:pi 
wind: taːpi 
woman: pi:ni 
woman: piːni 
you: po 
