all: emangpi 
animal: binantɑ 
arm: atang 
arm: atáng 
arm: nataŋ 
ashes: mekke 
ashes: moro 
ashes: mɔrɔ 
at: tang 
at: veng 
back: ma-mota-edzhel 
back: na-mota 
back: na-motta 
back: nɔmɔtɑ 
back: no-mota 
bad: (d)zhasi 
belly: na-tow 
belly: ne-tow 
belly: no-tok 
belly: no-toku 
belly: nɔtɔku 
big: b!al 
big: ele 
big: ɛlɛ 
big: kana 
big: lee 
bird: adúang 
bird: dung 
bird: duŋ 
bird: uul 
black: anni 
black: hanɑ 
black: hana 
black: ka\ána 
black: kana 
blood: na-ve 
blood: na-we 
blood: ne-ve 
blood: ne-we 
blood: wee 
blood: wey 
bone: ira 
bone: kirɑ 
bone: kira 
bone: na-talá 
bone: ne-kira 
bone: tallá 
branch: atang 
breast: na-kono 
breast: ne-e\am 
breast: ne-etu 
breast: ne-kono 
breast: nɛːtu 
breast: oang 
cheek: na-dung 
cheek: na-wayra 
cheek: no-dung 
cheek: nɑwɑyrɑ 
chest: na-bukang 
chest: na-diyar 
chest: n-owáng 
chest: n-uang 
chest: n-ukang 
chest: nukaŋ 
child: n-oqxal 
child: nɔqxal 
child: oal 
child: o\al 
child: va\al 
child: val 
child: wal 
chin: ava 
chin: awa 
chin: awah 
chin: awa(h) 
chin: awaha 
chin: noot 
chin: nɑwɑ 
claw: kohíng 
claw: kooking 
claw: kuku 
claw: kurúsing 
claw: kusíl 
claw: kusing 
claw: kusiŋ 
cloud: banaw 
cloud: banáw 
cloud: bano 
cloud: banow 
cloud: banów 
cloud: bënáw 
cold: babíla 
cold: jhewi 
cold: kajhávi 
cold: ke\éwei 
cold: ke\ewi 
cold: mobu 
cold: qxiwi 
come: dɑ 
come: da 
come: ho\a 
come: ma 
crocodile: bapa 
cut: to\oning 
dance: dari 
dark: kua 
die: amína 
die: imina 
die: imína 
die: minɑ 
die: mina 
die: mina\ 
dig: toro\u 
dog: chabar 
dog: (d)zhabar 
dog: jabar 
dog: jabur 
dog: jhabar 
dog: jhobal 
dog: ǯɑbar 
drink: nɑ 
drink: na 
dry: atáta 
dry: ta\ata 
dry: taqxáta 
dry: taqxɑtɑ 
dry: tatti 
ear: everi 
ear: ewe-kir 
ear: eweli 
ear: na-ver 
ear: na-wel 
ear: na-weli 
ear: na-wer 
ear: nɛwɛkir 
earth: butung 
earth: meke 
earth: mekke 
earth: mexe 
earth: mɛxɛ 
earth: por 
eat: \ahi 
eat: kede 
eat: nɑ 
eat: na 
eat: naádang 
eat: nadang 
eat: naná 
egg: dog 
egg: dɔg 
egg: duag 
egg: duwa 
excrement: as 
eye: eng 
eye: eyng 
eye: nɛːŋ 
fall: ba 
fall: hiba 
father: iimang 
father: imang 
father: nimaŋ 
fat (n.): ele 
fat (n.): ɛlɛ 
fat (n.): hupár 
fat (n.): kupar 
fat (n.): kuta 
fat (n.): lee 
fat (n.): pil 
