arm: aota 
ashes: omu 
bird: de 
black: kae 
blood: nosi 
bone: para 
come: ere 
earth: deta 
eat: aire 
eat: ai-re 
egg: mo\a 
egg: moʔa 
eye: aronua 
fingernail: ode 
fire: awa 
foot: naro 
give: waire 
good: opo 
hair: nawa 
head: osi 
I: emi 
I: e-mi 
leg: naro 
louse: woa 
man: date 
man: doro 
name: here 
night: dopa 
one: orari 
rub: gili 
see: utere 
sit: nasire 
skin: tereba\a 
skin: terebaʔa 
sleep: bisüre 
sleep: bisüre 
squeeze: una 
stone: aea 
straight: vamdesu 
sun: wapao 
tail: otapara 
tail: ota-para 
take: vusu 
thin: biibat 
thou: oba 
thou: o-ba 
thou: umi 
tooth: moru 
tree: auma 
two: apimi 
water: waro 
we: ime 
we: i-me 
you: u-mi 
