arm: yilo 
bad: ërmouni 
bad: ərmouni 
belly: wëy 
belly: wəy 
bird: yio 
black: ëmukwí 
black: əmwukwí 
blood: aywi 
bone: lakë 
bone: lakə 
breast: muy 
child: yan 
dog: aukwë 
dog: aukwə 
ear: mëroëlakë 
ear: məroəlakə 
earth: pëlir 
earth: pəlir 
egg: warë 
egg: warə 
eye: nowar 
father: aya 
fire: tapo 
give: ku 
good: mta 
head: nouraka 
head: nou-raka 
he/she: arpa 
I: wan 
I: wa-n 
leg: lalë 
leg: lalə 
louse: nipikëm 
louse: nipikəm 
man: lamo 
moon: yalma 
mother: ami 
nose: wo-lokë 
rain: ila 
red: kiyko 
red: kiy-ko 
see: rakë 
see: rakə 
skin: nëpyei 
skin: nəpyei 
smoke: liya 
star: wawunë 
star: wawunə 
stone: tïl 
stone: tɨl 
sun: taliyë 
sun: taliyə 
they: arpam 
thou: yim 
thou: yin 
thou: yi-n 
tongue: lalëmu 
tongue: laləmu 
tooth: piyapa 
tree: tau 
two: yikën 
two: yikən 
walk: ti 
walk: tu 
water: you 
we: nam 
we: na-m 
white: kwaiyawi 
wind: yik 
woman: tëlum 
woman: təlum 
you: yi-m 
