all: dabu 
animal: yurigu 
arm: duru 
arm: mala 
arm: nuru 
ashes: buŋga 
back: baṛu 
bad: guya 
bad: waṛgu 
bark: balgaɲ 
bark: guga 
belly: bana 
belly: banbu 
belly: ŋalgu 
big: bulŋana 
big: dalgabaṛa 
big: wuɟabari 
bird: bidili 
bird: dibila 
bird: winɟaṛu 
bite: bada- 
black: mida 
blood: guma 
bone: balban 
boy: nanga 
branch: mala 
breast: ŋamun 
brother: badana 
brother: gada 
brother: gadana 
brother: wabu 
burn: ganda- 
calf: dumu 
cheek: baŋgil baŋgil 
chest: bumba 
chest: miṛbil 
child: gandu 
cloud: yugan 
cold: buɟari 
come: yani- 
crocodile: dagaɲ 
cut: gulma- 
cut: gunma- 
dark: ŋugun 
dark: nigal 
day: gari 
die: mayi- 
die: wula- 
dig: baga- 
dog: gumbinu 
dog: mayu 
dog: ŋura 
dog: ŋuram 
dog: wandi 
drink: yuga- 
dust: dunburwa 
ear: bina 
earth: nani 
ear: wala 
eat: yuga- 
egg: ganu 
emu: gundulu 
eye: buyun 
eye: dili 
face: dili 
fall: baŋga- 
fall: baŋgali- 
fall: waṛa- 
far: gawari 
father: yabu 
fat (n.): dami 
fat (n.): ŋarbi 
fear: baŋgaɲ 
feather: bumbu 
fight: gunda- 
fingernail: biga 
fish: guyu 
fish: wina 
flower: bulban 
flow: galga- 
fly (n.): ninŋa 
fog: duga 
fog: dugabara 
foot: dina 
girl: gambal 
give: wuni- 
give: yaba- 
good: binbi 
grass: gaɟara 
grass: waguṛa 
hair: gada 
hair: nidi 
hand: maṛa 
head: gada 
heart: buldaɲ 
hear: yumba- 
here: yina 
he/she: nula 
he/she: nuːna 
he/she: nuːŋ 
he/she: nuŋu 
he/she: nuŋuna 
hit: bandu- 
hit: gunda- 
hit: gundap 
hold: damba- 
hold: danayi- 
hole: yuna 
house: guga 
house: gugaru 
house: yamba 
how: ŋanda 
hunt: gunda- 
husband: baldira 
husband: guŋgal 
I: ŋana 
I: ŋaɟu 
I: ŋaɟuna 
I: ŋaya 
kangaroo: ŋargu 
kangaroo: wura 
kill: gula 
kill: gunda- 
knee: madin 
know: ŋuɟa- 
know: ŋuɟali- 
laugh: yadi- 
leaf: wilba 
leg: dara 
leg: wulmuṛ 
lie: wuna- 
lightning: madaŋaṛa 
lip: munu 
live: binda- 
live: dunbi 
liver: bulgaɲ 
liver: yaguṛi 
long: gurgan 
long: gurgandala 
man: bama 
meat: yuṛi 
meat: yurigu 
moon: burgari 
moon: gagaṛa 
morning: birga 
mosquito: buɟuɲ 
mother: yaŋa 
mountain: bindi bindi 
mountain: muŋgu 
mouth: daŋga 
name: nambar 
name: nari 
near: biḍi 
neck: manu 
night: ŋugan 
old: bunŋa 
old: bunŋagan 
old: wunuŋadi 
one: waṛba 
person: maṛi 
play: dira- 
pull: buri- 
rain: gamu 
river: baṛbaṛa 
river: galbaṛa 
road: yalga 
rub: guɟa- 
rub: wuɟa- 
salt: guɟara 
sand: balgaṛa 
sand: galbul 
say: waɟa- 
say: yama- 
say: yanba- 
scratch: bambu- 
sea: guɟara 
see: naga- 
short: guṛguru 
shoulder: nuru 
shoulder: wilgaṛa 
sing: banda- 
sister: guda 
sister: gudana 
sister: wabugan 
sit: binda- 
sit: dana- 
skin: nuṛgal 
sky: bandaṛa 
sleep: wumbaṛ 
sleep: wuŋar 
small: baɟari 
small: gaṛmaṛi 
smell: gabura 
smoke: duga 
snake: gabul 
snake: munda 
spit: numba 
star: budu 
sun: gaɲmira 
sun: ganir 
sun: gari 
sweet: gaba 
tail: buŋa 
take: gambi- 
take: gunda- 
take: mana- 
take: mara- 
that: ŋuna 
that: wuna 
that: yana 
there: ŋuna 
there: wuna 
there: yana 
they: dana 
they: danana 
they: danaŋu 
they: danaŋuna 
they two: bula 
they two: bulana 
they two: bulaŋu 
they two: bulaŋuna 
thigh: dara 
this: yina 
thou: yinda 
thou: yindana 
thou: yindaŋu 
thou: yindaŋunda 
thou: yunu 
thou: yura 
thou: yurana 
thou: yuraŋu 
thou: yuraŋuna 
throat: barga 
throat: daŋga 
throw: bilga- 
throw: maŋga- 
thunder: madaŋaṛa 
today: yiyaga 
today: yiyala 
tomorrow: birgagu 
tongue: dalaɲ 
tooth: ŋala 
tree: baŋga 
tree: dula 
turn: gambiṛa- 
turn: gambiṛama- 
turn: yila- 
two: bulaṛu 
walk: wagabandi- 
walk: wagara- 
walk: wagawanɟa- 
walk: yana- 
walk: yani- 
wallaby: galbiru 
wallaby: guɲul 
wallaby: ŋargu 
wallaby: waya 
warm: bumburiɲ 
wash: yuŋgu- 
wash: yuŋguli- 
water: gamu 
weep: bari- 
weep: brigi- 
we: ŋana 
we: ŋana(n) 
we: ŋanaŋu 
we: ŋanaŋuna 
we two (incl.): ŋali 
we two (incl.): ŋali(n) 
we two (incl.): ŋalina 
we two (incl.): ŋaliŋu 
we two (incl.): ŋaliŋuna 
what: ŋani 
when: ŋanɟanbila 
where: ŋandagu 
white: buɟa 
white: migulu 
who: ŋandulu 
wife: birgu 
wife: brigu 
wind: yarga 
wing: gangal 
woman: gambi 
woman: gayu 
woman: warŋu 
wood: baŋga 
wood: dula 
yesterday: birgagu 
you two: yubala 
you two: yubalana 
you two: yubalaŋu 
