arrow: ei 
ashes: eri mugu 
ashes: kuraɣandiŋgwa 
ashes: kurághandinggwa 
back: manonggwiyo 
back: manoŋgwiyo 
back: mono 
bad: nigindo-ŋgwa 
belly: mirinom 
big: ori 
bird: gavaga 
bird: kapu 
bird: kʰaßuɣa 
black: kama 
blood: agi 
blood: diyo 
bone: yiba:gon 
bone: yobiago 
bone: yombu-rayombu-ra 
breast: ami-no 
brother: emna-m 
burn: honaiyo 
burn: konaiyo 
butterfly: derenggure 
butterfly: dereŋgure 
butterfly: kobonbumbe 
butterfly: tobaroba 
cassowary: kav-obi 
cassowary: oinime 
child: gan 
child: gaːn 
cloud: kamunφege 
cold: usiwe unggwa 
cold: usiwe uŋgwa 
cut: boie 
cut: toro 
day: foɣaipa 
day: foghaipa 
day: kʰamʊntagome 
dog: kei 
drink: ni nega 
ear: kina-na 
ear: kina-no 
earth: mangawa 
earth: mán.gawa 
earth: mansinom 
earth: mansinu 
eat: nega 
egg: koruamwio 
egg: koruámwio 
emu: kavobi 
emu: oinime 
eye: ogonómio 
eye: ogonomiyo 
eye: onggumunya 
eye: oŋgumunya 
face: giananggumo 
face: gianaŋgumo 
father: afo 
fear: kuri pika 
fire: edongwa 
fire: eri 
fire: eri ndonggwa 
fire: eri ndoŋgwa 
fish: nikabu 
fish: níkabu 
flower: gorawi 
flower: taiku 
fly (n.): dewin 
foot: hau-no 
foot: kau-na 
fruit: mugo- 
girl: ama 
give: nane 
give: tega 
good: arimun 
green: eraromgamkwoingwa 
guts: de-no 
guts: dera midna 
hair: vi-o 
hair: yo-mo 
hand: ogo-nam 
hand: ogonomu-no 
head: bi-no 
head: binya 
hear: pika 
heavy: ißɪndome 
here: tawa 
he/she: yi 
hold: agure 
house: igi 
husband: wiumbiai 
ice: ninumwi 
I: no 
know: na pika 
know: piku 
leaf: eri aro 
leaf: wamun 
lie: paivene 
live: kori moiya 
live: wanmoi 
long: arari 
louse: niman 
man: ari 
man: yai 
many: munmani 
meat: miyo- 
moon: kapa 
moon: kʰaßa 
mosquito: denkaßu 
mother: mana 
mountain: gobu 
mountain: moyo 
mouth: gia-na 
mouth: gia-no 
name: ka-nam 
name: yagoi 
name: yuwa 
navel: yoiyom 
night: arombenggwa 
night: arom-beŋgwa 
night: ginangguru 
night: ginaŋguru 
night: onosuna 
old: biai 
old: gaiyom 
one: tano 
push: sɪnboi 
rain: nimi 
rat: dua 
red: gaigu 
road: komori 
road: ko:n 
road: koːn 
road: konmori 
root: maburum 
root: máburum 
root: ona 
rope: era 
rope: kan 
rope: ka:n 
rope: kaːn 
rotten: bwime 
salt: rivi 
salt: φwi 
see: kaniga 
short: buna 
shoulder: kibam 
sit: amendiga 
skin: gaːm 
skin: ga-no 
sky: kamʊn 
small: ga 
small: gan 
small: gaworoga 
smoke: deri nare 
smoke: ed nugu 
smoke: enugu 
snake: onoba 
snake: onopa 
spit: ewium 
spit: noai 
stand: ariga 
star: kobu 
star: mogomi 
stone: konggo 
stone: koŋgo 
sun: are 
sun: aro 
tail: weom 
take: kunei 
they two: yi suo 
they: yi 
this: i 
thou: ne 
three: suo ta 
tie: koiyosi 
tomorrow: o-ongo 
tongue: giau-no 
tooth: kinam 
tooth: ki-no 
tree: eri 
tree: kowiye 
two: suo 
water: ni 
water: nuwi 
weep: oŋguminya niosinga 
weep: ongguminya niosingga 
weep: umboiwingga 
weep: umboiwiŋga 
we: nono 
we two (incl.): no suo 
white: φege 
wife: ebinyambie 
wind: goi 
wing: koiom 
woman: opai 
wood: kuba 
year: noniki 
you two: ne suo 
