all: ahurubeyi 
and: beuri 
arrow: hou 
ashes: be-ora 
ashes: bɛ-ɔra 
back: toida 
back: tɔida 
bad: awai 
belly: tao 
big: ahara-beyi 
bird: desi tou 
bird: dɛsi tou 
bite: palai 
black: hele 
black: hɛlɛ 
blood: aurai 
blow: boitai 
blow: bɔitai 
bone: i 
branch: u-kou 
breast: tue 
butterfly: suapu 
cassowary: dei 
child: sau 
cloud: da-tai 
cold: tawai 
come: mai 
count: aidodi 
crocodile: dau 
cut: kabɛdie 
day: baladeli 
day: baladɛli 
die: suai 
dog: dabe 
dog: dabɛ 
drink: ira-udai 
dry: sueye 
dust: sua 
ear: e 
earth: kua 
eat: sai 
egg: bi 
elbow: kouhu 
emu: dai 
excrement: ha 
eye: härä 
eye: härä 
fall: udaije 
fall: udaiǯe 
far: kuaorateri 
far: kuaɔratɛri 
father: awa 
fat (n.): dereri 
fear: edibali 
few: hiabiai 
finger: kai 
fingernail: kai-ho 
fire: be 
fire: bɛ 
fish: hia 
five: ahuru-beyi 
flow: bejai 
flow: beǯai 
fly (n.): badi 
fly (v.): bidai 
fog: oibegi (?) 
fog: ɔibegiʔ 
forest: pe 
four: hoi-beyi 
four: hɔi-beyi 
fruit: tai 
full: betahorëdi 
full: bɛtahɔrədi 
give: dihurufuahorai 
give: dihuruφuahɔrai 
good: lakei 
grass: ho 
green: sata 
hair: idi towa 
hair: towa 
hand: kai 
head: bau 
hear: jeberi 
heart: ou 
hear: ǯɛbɛri 
heavy: hi-bai 
he/she: di 
hit: jai 
hit: ǯai 
hold: dɛtɛri 
house: uda 
husband: te 
husband: tɛ 
I: a 
in: udataudoi 
kangaroo: sari 
kill: bai 
knee: soitiri 
lake: duhu 
leaf: sa 
leg: ta 
lie: arubidarie 
lightning: la-uda-huda 
liver: ta 
live: udedeye 
live: udɛdɛye 
long: behebei 
long: bɛhɛbei 
louse: do:u 
louse: doːu 
man: te 
man: tɛ 
many: odiabei 
many: ɔdiabei 
moon: su 
mosquito: te 
mosquito: tɛ 
mother: ja 
mother: ǯa 
mountain: dala 
mouth: bu 
name: osi 
name: `ɔsi 
narrow: hau-wei 
near: kuateka-bei 
near: kuatɛka-bɛi 
neck: hua 
new: to-be 
night: da-hala-beyi 
nose: toro 
not: kai 
old: ba-bei 
one: busu-we 
person: te 
person: tɛ 
play: kuele 
pull: detebete 
pull: dɛtɛbɛtɛ 
push: sidotorai 
push: sidɔtɔrai 
rain: bi 
rat: koisidi 
rat: kɔisidi 
red: koura 
river: ida 
road: kara 
root: nuru 
root: turu 
rope: owa 
rotten: tuhe 
rub: ogotorai 
rub: ɔgɔtɔrai 
salt: baiyu 
salt: baiyu [ʟw] 
sand: o 
sand: ɔ 
scratch: idiarie 
scratch: idi arie 
seed: hele 
seed: hɛlɛ 
see: dori 
see: dɔri 
sharp: odawa-beyi 
sharp: ɔdawa-beyi 
short: oto-be 
short: ɔto-bei 
sing: uwalai 
sit: bawadie 
skin: iri 
sky: da: 
sky: daː 
sleep: tawi 
small: hakaw-beyi 
smoke: be-bie 
smoke: bɛ-bie 
snake: balau 
spit: butora 
spit: taudai 
split: dukari 
stab: kabedie 
stand: bidari 
star: tatala 
stone: biho 
stone: bihɔ ~ horo 
stone: horo 
straight: todë-beyi 
straight: todə-beyi 
sun: su 
swell: heie 
swim: hɔra 
tail: si 
take: deteri 
that: di 
thick: ahaude-beyi 
thick: ahaudɛ-beyi 
thin: ora-beyi 
thin: ɔra-beyi 
this: ma 
thorn: be 
thorn: bɛ 
thou: di 
three: hoi-beyi 
three: hɔi-beyi 
throw: torai 
throw: tɔrai 
thunder: dai-dai 
tie: kali 
tongue: aia 
tooth: bidi 
tree: u 
turn: oholai 
turn: ɔhɔlai 
two: borë-beyi 
two: borə-beyi 
vagina: ha 
vagina: φɛ 
vomit: u-bali 
walk: ja 
walk: ǯa 
wallaby: sari 
warm: didai 
wash: hora 
wash: ogotorai 
wash: ɔgɔtɔrai 
wash: suelie 
water: ida 
we: e 
weep: idai 
we (excl.): e 
we (incl.): e 
wet: bidebei 
wet: bidëbei 
what: teridi 
what: tɛridi 
white: hatebana 
white: hatɛbana 
who: taiwe 
who: taiwɛ 
wide: tɛtɔradi 
wife: si 
wind: ha:u 
wind: haːu 
wing: apu 
wipe: suɛlie 
woman: si 
wood: bori 
wood: u 
worm: haːu 
yellow: bu-bai 
