all: behuoʔo 
arm: eni 
big: wago 
bird: adau 
bite: afu 
black: dubaduba 
blood: yara 
blow: fune 
bone: giha 
breast: ama 
come: ai 
cut: pomu 
dig: guni 
dog: wa\ai 
dog: wa\i 
dog: waʔi 
drink: hihi 
ear: ope 
ear: ʔope 
eat: hihi 
egg: urim 
elbow: giboʔa 
emu: guiae 
eye: nigaba 
eye: nigiba 
face: inigaba 
face: waruna 
father: baba 
father: babai 
father: baba\i 
fat (n.): mona 
fear: dobi 
fight: veʔa 
fire: io 
fire: io\u 
fire: you 
fish: oneba 
fish: ʔoneba 
five: eni-apu 
foot: geogo-hahaga 
foot: o\anihahaga 
four: hauna-hauna 
full: afuian 
give: minena 
green: gabagabani 
hair: idi 
hand: ahaga 
hand: ahagi 
hand: ene-haga 
hand: haga 
hear: nani 
heavy: unumu 
here: eva 
he/she: noa 
hold: masaʔani 
house: mali 
house: mari 
husband: emegi 
I: ia 
I: olani-baha 
I: olani-baha (?) 
kill: maiau 
left: eban 
leg: gegoho 
leg: wabe 
louse: tuma 
man: eme 
man: emegi 
man: eme-mani 
moon: manabe 
moon: manibi 
morning: buga 
mosquito: nemo 
mother: inai-ina 
mother: inaina 
mountain: ʔono 
mouth: nogafoi 
name: imu 
navel: iribu 
near: hebide 
night: ganu 
night: naine 
old: baeau 
one: miau 
push: bibi 
rain: guba 
ripe: magani 
river: guina 
road: ahawalai 
road: laea 
road: lai-adakania 
road: lai-adekania 
rope: naga 
salt: sari 
sand: ʔone 
see: eni 
shoulder: gabi 
sing: madi 
sit: yauni 
skin: ʔopi 
spit: oro 
star: ligon 
stone: goma 
sun: lina 
swim: loʔonoi 
tail: baruma 
that: ada 
there: adade 
they: emena 
they two: emua 
thigh: wabe 
this: eva 
thou: ga 
thou: ubau 
thou: ubau (?) 
thou: ya 
three: aisen 
three: aiseni 
throw: ho 
tooth: ma\a 
tooth: maʔa 
tooth: maha 
tree: ana 
tree: gabana 
two: hauna 
vomit: gobi 
walk: bae 
walk: wani 
water: ia\a 
water: yaʔa 
weep: ini heigotan 
we: ge 
we two (incl.): guaʔauna 
what: nemeda 
when: abaham 
where: abona 
who: ʔabuʔa 
wide: badada 
wife: have 
wing: pepe 
woman: aha 
woman: haha-mani 
woman: have 
wood: ana 
yellow: gobugobuna 
you two: iaʔauna 
