arm: yisi 
bad: wungo 
bad: wuŋo 
belly: tuau 
bird: aulon 
black: nungo 
black: nuŋo 
blood: omkol 
bone: emingel 
bone: emiŋel 
breast: niman 
child: ningën 
child: niŋən 
come: aine 
dog: palel 
ear: ngipi 
ear: ŋipi 
earth: tau 
egg: yülam 
egg: yülam 
father: aiye 
fire: wul 
give: wu 
good: yerël 
good: yerəl 
head: palau 
he/she: elel 
he/she: l- 
I: k- 
I: ki 
leg: tiye 
louse: nëmeilëm 
louse: nəmeiləm 
man: monol 
moon: auniyil 
mother: mukei 
rain: au 
red: muŋáwo 
red: nungáwo 
see: el 
skin: paulou 
smoke: tuwange 
smoke: tuwaŋe 
star: taurul 
stone: talmanëf 
stone: talmanəf 
sun: wopli 
they: elpel 
they: p- 
thou: ite 
thou: i-te 
thou: y- 
thou: yife 
tongue: yuwang 
tongue: yuwaŋ 
tooth: nulpo 
tree: nipel 
two: winge 
two: wiŋe 
walk: ali 
water: tipel 
we: ku 
we: m- 
we two (incl.): w- 
white: piyu 
wind: yeiyu 
woman: matal 
you: yi-fe 
