arm: wari kere 
ashes: degi 
bird: duke 
black: koru 
blood: doü 
blood: doü 
bone: kere 
come: tari 
dog: die 
earth: sori 
eat: deira 
egg: (duke) ku 
egg: duke ku 
eye: auru 
fingernail: weriebi 
fingernail: weri-ebi 
fire: dou 
give: avavi 
good: deria 
hair: tauri 
head: tokore 
I: adu 
leg: lakere 
louse: fikon 
man: du 
name: uwo 
night: koru-jo 
night: koruɟo 
one: kiaike 
see: fweida 
sit: borü 
sit: borü 
skin: okwakerefi 
sleep: veira 
stone: fai 
sun: gwari 
tail: owéi 
tail: owéi 
thou: dova 
tooth: ówei 
tooth: ówei 
tree: ude 
two: ta 
water: die 
water: dié 
we: edu 
