all: uile | ooilley 
and: agus | as 
animal: ainmhidh | baagh	baaghtagh	bioagh	cretoor 
animal: beathach | baagh	baaghtagh	bioagh	cretoor 
ashes: luath | leoie 
at: aig | ec 
back: cùl | dreeym 
back: druim | dreeym 
bad: dona | drogh	olk 
bad: droch | drogh	olk 
bad: olc | drogh	olk 
bark: comhartaich | roost 
bark: rùsg | roost 
because: a chionn\s | er-yn-oyr 
belly: brù | bolg 
big: mòr | mooar 
bird: eun | ushag 
bite: bìd | greimmey 
black: dubh | doo 
blood: fuil | fuL	fuill 
blow: buille | sheid 
blow: sèid | sheid 
bone: cnàmh | craue	kh~nx~av 
breast: broilleach | Th~ix	keeagh	khy$ix 
breast: uchd | Th~ix	keeagh	khy$ix 
breathe: thoir anail | tayrn ennal 
burn: loisg | lostey 
child: pàiste | lhiannoo	paitçhey 
cloud: neul | bodjal	niaul 
cloud: sgòth | bodjal	niaul 
cold: fuar | feayr 
come: thig | hy~iT	hy~iky~	tar	çheet 
correct: ceart | kiart 
count: cunnt | coontey 
cut: geàrr | giarrey 
cut: geàrradh | giarrey 
day: latha | laa 
die: bàsaich | geddyn baase	pasEx 
die: caochail | geddyn baase	pasEx 
die: eug | geddyn baase	pasEx 
die: faigh bàs | geddyn baase	pasEx 
dig: cladhaich | cleigh	reurey 
dirty: salach | breinnagh	broghe	sollagh 
dog: cù | kh~u	moddey 
drink: òl | iu	ol 
dry: tioram | çhirrym 
dull: doilleir | trome | moal 
dust: duslach | joan 
ear: cluas | cleaysh	kh~lu3s 
earth: talamh | thalloo 
eat: ith | ee 
egg: ugh | ooh 
eye: sùil | sooill	suL 
fall: tuit | tuitt 
far: fada | foddey 
father: athair | ayr 
fat (n.): crèis 
fat (n.): sult 
fat: reamhar | blennick	sahll 
fear: eagal | goaill aggle roish 
feather: ite | clooie	fedjag 
feather: iteag | clooie	fedjag 
few: beagan | beggan 
fight: sabaid | caggey 
fingernail: ìne | ingin 
fire: teine | Ch~e5E	aile	çhenney 
fish: iasg | eeast	i3sk 
five: còig | cóig	queig 
float: bi air bhog | snaue 
float: bi air fleòd | snaue 
flower: blàth | blaa 
flower: dìthean | blaa 
flower: flùr | blaa 
flow: sruth | sheeley	shiaulley	stroo	thooilley 
fly (v.): cuileag 
fly (v.): itealaich 
fog: ceò | kay 
foot: cas | cass 
four: ceithir | ceithir	kiare 
freeze: reòth | riojey 
fruit: meas | mess	troar 
full: làn | lane	lanx~ 
give: thoir | toyr 
good: math | mie 
grass: feur | faiyr 
green: uaine | eayney	glass 
guts: greallach | collane 
guts: mionach | collane 
hair: falt | folt	gruag 
hair: gruag | folt	gruag 
hand: làmh | lav | laue 
head: ceann | kione 
hear: cluinn | clasht	cluin	kh~lu5 
heart: cridhe | cree 
heavy: trom | trome 
he: e | eh 
here: an seo | ayns shoh	aynshoh 
hit: buail | bwoalley 
hold: cùm | cum 
horn: adharc | axarx~xk~	corn	eairk 
how?: ciamar | cre’n aght	kanys	kys 
hunt: sealg | shelg 
husband: uine | dooinney	dooinney poost	sheshey	sheshey poost 
ice: deigh | rio 
ice: eigh | rio 
if: ma | ga	my 
I: mi | mee	mi 
in: ann | ayns 
kill: marbh | marr 
knee: glùn | glioon	klunx~ 
know: aithnich | ta fys ec … 
know: bi fios aig [+ subject] air [+ object] | ta fys ec … 
lake: loch | logh 
laugh: ceòl gàire | gearey 
laugh: dèan gàire | gearey 
laugh: gàire | gearey 
leaf: duilleag | duillag	tuLak 
left: taobh clì | clee	toshtal 
leg: cas | cass	lurgey 
