animal: daːm 
ankle: murgen 
ankle: murqen 
arm: baser 
arm: tafer 
arm: tute 
arrow: sena 
arrow: ǯina 
ashes: doas 
ashes: dos 
ashes: son 
back: debor 
back: dur 
belly: hu 
belly: ku 
belly: u: 
big: sokwote 
bird: du 
bird: düü 
bird: garerɛ 
bird: garqera 
black: birbere 
black: soisoiye 
blood: hesu 
blood: kusene 
blood: kuse-ne 
blood: kwose(-ne) 
bone: arene 
bone: are-ne 
bone: ere 
bone: kerɛ 
bone: rɛ 
breast: meːm 
breast: mum 
breast: teur 
breast: ti 
breathe: isen 
breathe: nasnas 
brother: kainsiwar 
brother: kusturtanenɛ 
brother: taneteqaiwer 
brother: tegaiwen 
burn: memerteh 
burn: tierter 
burn: tiseforte 
burn: toh 
butterfly: mometete 
butterfly: said 
butterfly: totivevork 
calf: bɛr 
calf: segaːr 
calf: tetaːr 
cheek: miftiven 
cheek: miːftiven 
chest: teur 
chest: ti 
child: gain 
child: gam 
child: tanedaːm 
chin: hobat 
chin: kurbat 
claw: su 
cloud: ka:r 
come: deiaka 
come: sediaka 
crocodile: sorem 
crocodile: ǯorem 
daughter: tane tegwoi 
daughter: tegwoi 
die: čerda 
die: demettine 
die: medoh 
die: metir 
die: tiːr 
dog: gura 
drink: fohi serbir 
drink: foh se-terbie 
drink: keːrber 
drink: oːrben 
dry: fare 
dry: karkere 
ear: kede 
earth: oh 
ear: ye:rbe 
ear: yore 
ear: yure 
eat: ti 
eat: tieme 
eat: timan 
eat: tunben 
egg: sua 
egg: suiye 
egg: suwe 
egg: süye 
egg: süye 
elbow: kedfur 
elbow: tefemu 
emu: fasoi 
emu: yaːndua 
eye: naue 
eye: nauwe 
eye: nowativen 
eye: nowattiven 
eye: nowe 
eye: nowɛ 
face: num 
father: soitɛ 
father: ǯitɛ 
fat (n.): fane-ne 
feather: busfenɛ 
feather: megusafenɛ 
feather: safe 
finger: afi 
finger: diŋkis 
fingernail: hor 
fingernail: or 
fingernail: saretoh 
finger: tefarbor 
finger: teforbor 
fire: demsesenaːn 
fire: giːt 
fire: hemaronofsenaːn 
fire: ti 
fire: tiːm 
fish: fodegar 
fish: fogar 
fish: foh-bar 
fish: orke 
five: nuwe nuwe ningka "two two one 
fly (n.): deboːr 
fly (n.): hunber 
fly (n.): mibere 
foot: soːnkɛr 
foot: taːn 
forehead: miːr 
four: nuwe-nuwe 
full: uneme bakwar 
girl: yofentan 
give: -korbe- 
good: warafe 
green: fubakem 
hair: are 
hair: aren 
hair: arin 
hair: (nabar-)are 
hair: safe 
hair: san 
hair: tebarsanen 
hair: tefasaven san 
hand: tafa 
hand: tafer 
hand: tefar 
hand: tefartiven 
head: debar 
head: na-baror 
head: napar 
head: na-par 
head: nebar 
hear: -mesar 
heart: mener 
heart: mum 
he/she: die 
house: ha 
house: sa 
husband: difenamkwe 
I: adi 
kill: afentegonedane 
kill: sagrefdoar 
knee: kerun 
knee: more-n 
knee: safe 
know: emtan 
know: emtaume 
laugh: ner 
leaf: ti-are 
leg: tef 
lie: anuistafe 
lie: nuseta 
lie: nuseto 
lip: miːf 
long: keretine 
long: kerkerer 
louse: nane 
man: ankwe 
man: daːm 
man: ongkwe 
man: oŋkwe 
man: tɛgen 
many: dmaram 
many: swaif 
meat: tiven 
moon: (p)fen 
mosquito: daf 
mosquito: sabɛsiau 
mosquito: san 
mother: anhensen 
mother: auhsener 
mountain: hir 
mountain: ir 
mountain: teren 
mouth: mif 
mouth: miːf 
mouth: urmo: 
name: bose 
name: buse 
navel: mus 
neck: foir 
neck: yem-ker 
new: kiare 
night: okwin 
nose: mase: 
nose: maseh 
one: aftinde 
play: sembonia 
play: titegan 
rain: ode(k) 
red: bir-bere 
river: kufkufmɛ 
river: ser 
road: aremefeteh 
road: nar 
road: ner 
root: bure 
root: sur 
round: bugbeke 
salt: didambi 
sand: dewes 
say: koreser 
say: urserur 
see: -damtar 
seed: ti-ane 
see: memadamtar 
shoulder: fur 
sing: tager 
sister: ainemhetanenɛ 
sister: kainsiwar 
sister: tegaiwen 
sit: anemde 
sit: dekwen 
sit: kwonfe 
sit: sagansedewiːm 
skin: baisettiven 
skin: tifen 
skin: tife-n 
sleep: anuistafe 
sleep: lusit 
sleep: nuseto 
sleep: nuster 
small: ebatetu 
small: ibatoiye 
smell: dɛqref 
smell: naːf 
smoke: noet 
smoke: nuɛka 
smoke: nuwet 
snake: o:s 
snake: oːs 
son: gaintane 
spit: kurtef 
spit: tsambai 
spit: urfe 
stand: anemeretifa 
stand: seretir 
star: mohte 
star: mote 
stone: tokwen 
sun: bušan 
sun: bushan 
sun: busyan 
swim: fo 
swim: fo-sedenbiye 
swim: teuse 
tail: dai 
tail: dani 
tail: fanese 
tail: fokbur 
that: ide 
that: idok 
thigh: giqwerɛ 
thigh: irkwer 
think: memetabare 
think: memikurtefeqen 
this: ende 
thou: emi 
three: nouwe-ningko 
throat: narem 
today: bueyo 
today: kusbe 
tomorrow: toːm 
