all: ogono 
arm: kangknga 
arm: kaŋkŋa 
arrow: mur 
ashes: os-mof 
ashes: pu 
ashes: s-mop 
ashes: us-mup 
ashes: wusmuf 
ashes: wus-muf 
back: sumbur 
back: sumbur(-ger) 
bad: pya 
bad: pyae 
belly: asgaih 
belly: askai 
belly: aske 
belly: askë 
belly: askə 
belly: koya(-tofro) 
belly: kwe-tobro 
belly: okokoi 
big: komboi 
big: kwai 
big: ofo 
big: owo 
big: tiafa 
big: yamar 
bird: mobsai 
bird: yong 
bird: yoŋ yor 
bird: yor 
bird: yur 
bitter: kukure 
bitter: kuraska 
black: duburwe 
black: komboi 
black: tomboi 
black: tomboy 
black: tompo 
blood: fsongko 
blood: nanai 
blood: psongko 
blood: psoŋko 
blood: psongk(w)a 
blood: psungkwac 
bone: kang 
bone: kaŋ 
bone: kar 
bone: ker 
bone: qay 
branch: di-gra 
breast: cots 
breast: mang 
breast: maŋ 
breast: mar 
breast: mer 
burn: marar 
burn: tau-per 
burn: zu-wemdi 
butterfly: kombof 
butterfly: kwambaf 
butterfly: kwambap 
butterfly: ngarbha 
calf: fom 
cassowary: egue 
cassowary: inggui 
cheek: keu 
cheek: këuning-gir 
chest: bëkir-kir 
chest: komboro-kar 
chest: pegir 
child: toyangse 
child: tubia 
chin: samba 
chin: sambai 
chin: sampe 
cloud: bu 
cloud: cesxu 
cloud: tik 
cold: kiga 
come: arkumbre 
come: orkuba 
come: pu 
come: pure 
come: terkobrom 
come: yepung 
come: yepuŋ 
crocodile: uyu 
crocodile: wakamante 
day: sanggaya 
day: sënggaye 
die: amburai 
die: mabuq 
die: mrei 
dog: war 
dog: wor 
drink: kis penen 
drink: nggasne 
drink: swinene 
drink: tofinan 
drink: tufinam 
dry: kaksai 
dry: konggoi 
dry: serawra 
dry: somboi 
dry: tekerso 
ear: kafnge 
ear: kafŋe 
ear: kafrae 
ear: kafrai 
ear: kafre 
ear: kawrae 
ear: kebele 
ear: koffrai 
ear: nanggai 
earth: baska 
earth: boskei 
earth: maforo 
earth: peske 
earth: pe(t)ske 
earth: piskwe 
earth: poskwe 
eat: kiknayam 
eat: na 
eat: nana 
eat: nanë 
eat: nemb 
eat: tnam 
egg: suing 
egg: suiŋ 
egg: suir 
egg: sur 
egg: suwi 
egg: suwur 
egg: su(wu)r 
elbow: kanggrai-skur 
elbow: kengger sukur 
elbow: kesbessah 
elbow: konggra-tkong 
emu: egue 
emu: koye 
excrement: asek 
excrement: ekoko 
eye: nabui 
eye: nof 
eye: nop 
fall: sampang/kos 
far: abu 
far: ani 
far: bwëfër 
far: bweter 
far: nugiëwar 
father: ai 
father: asa 
father: pasi 
father: pasi/asa 
fat (n.): nombe 
fat (n.): numbi 
fat (n.): numbui 
fat (n.): numbwi 
feather: mobsyo-syai 
feather: ta 
feather: tai 
feather: yor tae 
finger: känggra-buri 
finger: kanggrai-nofro = "hand-digit 
finger: kwimbas 
finger: monggor-angreburi 
finger: munggur nofro 
fingernail: angga-pwesqi 
fingernail: karembes 
fingernail: kembes 
fingernail: kwembes 
fire: sau 
fire: saw 
fire: sou 
fire: su 
fire: suwe 
fire: tu 
fish: uo 
fish: wo 
fish: wu 
five: afa 
five: awa 
fly (n.): bof 
fly (n.): ngambuk 
fly (n.): ombof 
fly (n.): ombop 
foot: mogor 
foot: moŋgor 
foot: muŋgur 
forehead: imagi 
forehead: uma 
forest: nu 
four: sam-sambra 
fruit: t-fong 
fruit: tfoŋ 
fruit: tfor 
fruit: t-for 
fruit: ti-fur 
fruit: tu-fur 
full: askampkasi 
full: aske-tebkefom 
full: okomboi 
give: fanabe 
give: ya 
give: yak 
give: yake 
give: yax 
good: entow ente 
good: nena 
good: sangke 
good: suwai 
good: usafa 
grass: prom 
grass: samyar 
green: kweinob 
green: kwenaf 
green: yawaker 
hair: (naf-)tai 
hair: nap-tae 
hair: ta 
hair: taə 
hair: tai 
hair: taih 
hair: tsai 
hand: anggai 
hand: kaŋgraih 
hand: kängkra 
hand: kangkrae 
hand: kangkra(i) 
head: bagar 
head: baŋger 
head: bangker 
head: mbangger 
head: mbaxiy 
head: pangker 
hear: swageyaf 
hear: swaye 
hear: swayem 
heart: porfor 
hear: xaru 
heavy: këne 
heavy: kəne 
heavy: kini 
heavy: kni 
here: yar 
he/she: angk 
he/she: aŋk 
he/she: nggu 
he/she: oku 
he/she: tef 
he/she: yemen 
hole: me 
house: yuf 
house: yup 
I: da 
I: ga 
I: gaem 
I: gaf 
I: ka 
I: ki 
I: ta 
I: wu 
kill: iknom 
kill: iknom/spuka 
kill: spuka 
knee: kombru 
knee: kombung 
knee: kombur 
knee: kumbur 
knee: kumpur 
knee: munggumb 
leaf: fra 
leaf: fre 
leaf: frei 
leaf: freix 
leaf: tafre 
leaf: ta-fre 
leaf: tefri 
leaf: tifre 
leaf: (ti-)fre 
leg: mogor 
leg: monggoai 
leg: monggor 
leg: muŋger 
leg: mungkor 
leg: mungkur 
lie: itsgauw 
lie: nautsem 
lie: nun 
lightning: uing 
lightning: uingk 
lip: mentobro 
lip: mossotefai 
lip: mostofro 
lip: mustofro 
live: muraye 
live: nafentuente 
live: nawnena 
long: abra 
long: chukui 
long: grurwo 
long: kimara 
long: kngung 
long: kŋuŋ 
long: kuyai 
louse: ku 
louse: mburgeges 
louse: mburgëgës 
louse: meux 
louse: nungkwafa 
man: kniging 
man: knigiŋ 
man: knigir 
man: kningger-toi 
man: kningking (tui) 
man: kningkri-tui 
man: kninkli-toi 
man: tsrox 
many: bossa 
many: kirkomboi 
many: komboinam 
many: mokwa 
many: (mo)ngomp 
many: moŋomp 
many: mugrun 
many: murom 
many: ŋomp 
meat: nigin 
meat: niging 
meat: nigir 
meat: niŋgir 
moon: kongkro 
moon: wes 
moon: wis 
morning: skumbi 
morning: smuayen 
mosquito: anggras 
mosquito: angkles 
mosquito: angkres 
mosquito: pasta 
mother: afa 
mother: bai 
mother: bai/afa 
mother: kenmen 
mother: mbai 
mountain: mokko 
mountain: or 
mountain: orongk 
mountain: yuwene 
mouth: manggai 
mouth: mosof 
mouth: mossof 
mouth: musuf 
mouth: wakmei 
name: menengkir 
name: mosop 
name: mseing 
name: ninggi 
name: san 
name: sisan 
navel: ommus 
near: nafanana 
near: nafi 
near: newi 
neck: koksoi 
neck: por-wake 
neck: waga(i) 
neck: wagë-bor 
neck: wake-per 
new: bogar 
new: imi(na) 
new: naflinggir 
new: namo 
new: nemei 
new: tinggir 
new: yaranagi 
night: nuambëgri 
night: nukmugriye 
night: sʉomp 
night: süomp 
night: syam 
