all: maboa 
arm: wada 
arm: wala 
ashes: ga-reno 
ashes: karemp 
ashes: ka-rëmp 
ashes: ka-tëbu 
ashes: katəbu 
ashes: ka-tip 
at: gi 
at: na 
belly: gambala 
belly: hambala 
belly: kambada 
belly: xambala 
big: buka 
big: egandu 
big: (k)wanada 
big: wanada 
bird: die (?) 
bird: du 
bird: tu 
bite: kded- 
bite: kdedo- 
black: nambada 
black: nembala 
black: nembale 
black: nemoare 
blood: hola 
blood: kodoa 
blood: kola 
blood: xworë 
bone: gemda 
bone: kemda 
bone: saba 
bone: xiamëndë 
breast: toto 
breast: tutu 
burn: iki 
butterfly: atanoke 
cassowary: koangge 
cloud: abuni 
cloud: namba 
cloud: yobeli 
cold: apde-amënangge 
cold: apde-amənaŋge 
cold: kekalbi 
come: gabëda- 
come: gabəda- 
come: sokombo- 
come: teblap 
die: awe- 
die: maba- 
die: namgawa 
dog: yabodo 
drink: seme- 
drink: tebep- 
dry: nagamada 
dry: nagamda 
dry: nekamda 
dry: sepale 
ear: gombo-gala 
ear: kombo-kolo 
ear: kumbo-keda 
earth: gewou 
earth: gëwou 
earth: gəwou 
earth: kabo 
earth: këbo 
earth: kəbo 
earth: xuvo 
earth: yemai gebo 
ear: xombo-gwarë 
eat: hede- 
eat: tata- 
eat: tato- 
egg: de-kemda 
egg: dogomda 
egg: do-gomda 
egg: tugabola 
egg: tu-gabola 
emu: koaŋge 
eye: kamba-gala 
eye: komba-kora 
eye: kumbakwada 
eye: kumba-kwada 
eye: xomba-kwarë 
fall: yogode- 
far: gada 
father: aya 
fat (n.): ganowe 
fat (n.): genengkwe 
fat (n.): ula 
feather: nenenda 
feather: tu-nenale 
fingernail: bebeapru 
fingernail: bebe-apru (wala) 
fingernail: bebe-gopeda 
fingernail: wala-bem 
fire: kai 
fire: xai 
fish: dabona 
fish: spola 
fly (n.): emopabo 
fly (n.): mapap 
fly (n.): mopap 
fly (v.): dukape- 
foot: aseru 
foot: idu 
fruit: nomo gemda 
full: kambala 
full: yale kemabale 
give: sebi 
give: tatawa 
give: tatowa 
good: amani 
green: janggela 
hair: mvuroë 
hair: nananda 
hair: nenale 
hair: neneura 
hand: wada 
hand: wala 
hand: wata 
head: bapale 
head: boda 
head: bola 
head: nënandë 
hear: hambili- 
hear: kombolo- 
hear: ombodo- 
heart: toboa 
heavy: emboda 
he/she: ea 
he/she: yaninidi 
he/she: yermenwi 
hole: mbea 
