arrow: ndzikar 
back: kupik 
bad: ŋgorɛaʔ 
bad: ngorea\ 
bark: -nanziŋ 
bark: -nanzing/-naziu 
belly: mimong 
belly: mimoŋ 
belly: ni:k 
belly: niːk 
big: anea\ 
big: anɛaʔ 
bird: nggora\ 
bird: ŋgoraʔ 
bone: gaɣar 
bone: gaghar 
breast: mur 
brother: yakai 
brother: yakay 
brother: yap 
cassowary: mbunong 
child: ŋandamuŋ 
child: ngandamung/ngadabur 
chin: kamuning 
chin: kamuniŋ 
dance: ueta 
dog: pirang 
dog: piraŋ 
ear: koar 
earth: waɣapaʔ 
earth: waghapa\ 
egg: yor 
elbow: -digin 
emu: mbunoŋ 
eye: rameak 
eye: ramɛak 
father: ais 
father: ʌis 
fat (n.): waipak 
feather: rarau 
fingernail: -amboum 
fire: sa:k 
fire: saːk 
fish: sing 
fish: siŋ 
five: rapaung 
five: rapauŋ 
fly (n.): numket 
fly (n.): numkɛ-t 
fog: wau 
foot: tagir 
forehead: rambanggut 
forehead: rambaŋgut 
forest: rang 
forest: raŋ 
four: paureik 
good: yaung 
good: yauŋ 
grass: ndain 
hair: dibrat 
hair: dibra-t 
hair: -tsaprit 
hair: -tsapri-t 
hand: par 
hand: -ukut 
head: pangan 
head: paŋan 
heart: rukut 
heavy: makuk 
he/she: ma 
he/she: ma-na 
house: endau 
house: ɛndau 
husband: kanggait 
husband: kaŋgait 
I: a\-na 
knee: -tutup 
leaf: -rapar 
leg: or 
leg: or/op-air 
liver: bebek 
liver: bɛbɛk 
man: namot 
moon: ka:re 
moon: kaːre 
mosquito: nanggit 
mosquito: naŋgi-t 
mother: aim 
mother: avo 
mother: ʌßo 
mountain: sakur 
mouth: up 
name: wi 
navel: rɛn 
navel: ten 
new: ngam/ngaip 
new: ŋgam 
nose: i:ndup 
old: bagar 
one: kaku 
red: yaup 
river: ok 
road: raup 
rope: mɛndzai 
rope: naŋtik 
rope: nang-tik/nang-air 
salt: serem 
salt: sɛrɛm 
sharp: wiwir 
short: ait 
shoulder: nakep 
sister: mbi 
skin: si:k 
skin: siːk 
small: ino\ 
small: inoʔ 
smoke: sakor 
smoke: sak-or 
snake: mindop 
star: goai 
stone: ŋaut 
stone: ngaut/wat-ur 
sun: ra 
tail: -bugon 
they: mi 
they: mi-na/maning-na/minpa\-na 
they two: maning 
they two: minpa\ 
thigh: bis 
thigh: -bis 
thou: go-na 
thou: ne 
three: geramaut 
three: gɛramaut 
throat: yokot 
throat: yopkot 
tongue: memrang 
tongue: mɛmraŋ 
tooth: nadaghai 
tooth: nandaɣai 
tree: -arik 
tree: -muniŋ 
two: mbuning 
two: mbuniŋ 
water: ngarum 
water: ŋarum 
we: ai 
we: e-na/ang-na/apea\-na 
we two: a-ng 
we two: apea\ 
white: gogouk 
wing: auk 
woman: mɛaz 
woman: meaz/mik 
wood: ait 
wood: -ait 
yellow: ngor-ngor 
yellow: ŋorŋor 
you: ne 
you: ne-na/ong-na/nepa\-na 
you two: apea\ 
you two: ong 
