all: rauri 
arm: mana 
arm: mapare 
arm: maːre 
arrow: apoko 
ashes: yaw 
at: tone 
back: atae 
bark: pikiri 
big: atoa 
bird: paturu 
black: tat 
black: tate 
blood: ere 
bone: emae 
boy: airu 
breast: ao mare 
breast: so 
brother: -poka 
brother: -poka ; -waoka 
brother: -waoka 
burn: pu- 
burn: puma otomo 
butterfly: uri 
butterfly: wiri 
calf: kimi 
child: airu-a 
chin: kepare 
come: (i)nao- 
come: nao- 
cut: ki- 
dance: ni- 
dark: iiki 
dark: iwiti 
dark: liki 
day: maake 
day: máoro 
day: mara-tya 
die: ko ai-r 
dig: hi- 
dig: ti- 
dirty: panawa 
dog: uːri 
dry: toto-ko 
ear: ifini 
ear: ihani 
ear: ihini 
ear: i\ini 
earth: tapare 
ear: yawana 
eat: ne- 
egg: ta 
egg: tama 
egg: tir-apu 
elbow: tora-po 
eye: mame 
fall: nao- 
fall: utu- 
father: -iku 
father: -wiko 
father: -wito 
fear: honae 
fear: tono 
fire: uta 
fish: ereka 
foot: imiri 
foot: maw 
forest: wao 
fruit: eke 
full: enakopea 
give: kema- 
give: keme- 
good: yoko 
guts: atoare 
hair: wiri 
hand: mana 
hand: mapare 
head: iti 
head: ufu 
head: uhu 
head: upao 
head: uwu 
heart: toke 
he/she: a- 
he/she: ara-tia 
he/she: are 
he/she: a-re/a/a-ma 
hit: ka(f)o- 
hit: kao- 
hit: muku- 
hit: tafo- 
hold: ke- 
hole: ipa 
house: kamé 
husband: miwihi 
I: n- 
I: noa-tia 
I: noro 
I: noro/noa/noma 
jaw: kepare 
kill: tanao 
kill: tanao imi- 
knee: iripo 
know: mahamo 
know: matamo 
laugh: oko ko- 
leaf: e\e 
leg: imiri 
leg: maw 
lightning: maaro 
lip: i\iri 
lip: ii-ri 
liver: wao 
long: maiku 
louse: mamo 
louse: namo 
man: upuka 
meat: naha 
meat: nata 
moon: pura 
morning: tameha 
mother: enea 
mother: ote 
mouth: me 
mouth: mwe 
name: u-nata 
narrow: kekere 
navel: mopere 
neck: ema 
neck: ikiki 
neck: imak 
neck: umeke 
neck: umi 
new: ayku 
night: iri 
night: iri- 
not: mina 
not: -mina 
not: muna 
not: -tiane 
old: akarawte 
one: enakoa 
other: weni 
person: we 
pull: i\imi- 
pull: iimi- 
pull: imi- 
push: komo- 
rain: ke\e 
river: yo 
road: mako 
road: mawtawe 
root: mumu 
salt: yame 
sand: tiri 
say: i- 
sea: puru 
sea: wao 
seed: apeke 
seed: apoko 
see: mam i- 
see: pora- 
see: poro 
sharp: feroko 
shoulder: tairi 
sister: upuha 
sit: ep- 
sit: epe- 
skin: pikiri 
sleep: ete kai 
smoke: utimini 
spit: maha-pi 
spit: matao 
spit: otay 
split: ipi- 
split: tau 
stand: ame- 
stand: ko- 
star: ma\ako 
stone: omani 
straight: iare 
straight: oro oromo- 
sun: yaw 
tail: mipi 
take: kewa 
take: kewa- 
take: ohomo- 
take: otomo- 
they: a- 
they: ara-tia 
they: are/a/ama 
they two: kimane/kaukamane 
thigh: ae 
thigh: ahini 
thigh: atiri 
think: mipi 
think: mipi popo- 
think: mipo 
think: mipo popom- 
this: aro 
thorn: iki 
thou: e- 
thou: kare 
thou: o- 
thou: ora-tia 
thou: oro 
thou: oro/oa/oma 
thou: u- 
throat: ema 
throat: imak 
throat: umeke 
throat: umi 
thunder: uraki 
tie: eka- 
tie: moke- 
tie: moker 
today: wawa 
tongue: mare 
tooth: titi 
tree: mapare 
tree: ote 
turn: pay- 
two: mane 
two: yamane 
two: ya-mane 
vagina: pere 
vomit: mao- 
walk: ere- 
warm: amamuru 
wash: koraimi- 
water: mi 
we: nare 
we: nare/naa/nama 
wet: moko 
where: okare 
where: oka(re) 
white: puu 
white: tako 
wife: -eamo 
wife: -eámo 
wind: kimiri 
wing: yaru 
with: kiri 
woman: kauka 
yesterday: koa 
yesterday: koá 
you: k- 
you: kaa-tia 
you: kare/kaa/kama 
you two: kimane/kaukamane 
