animal: bigaɲ 
ankle: baraŋgal 
arm: buŋun 
arm: wurur 
ashes: giran 
bark: biɟal 
bark: d̪ura 
belly: banɟur 
belly: gumbal 
belly: mubal 
big: bural 
big: mala 
bird: buɟan 
bird: dibiɲ 
bird: d̪igara 
bird: d̪igaya 
bite: yiː- 
black: buluwi 
black: buluwiː 
blood: guway 
bone: bura 
bone: buṛa 
boy: gaŋgil 
breast: ŋamu 
breast: ŋamun 
brother: dagaɲ 
butterfly: buḍu 
calf: buṛa 
chest: biː 
chest: biri 
chest: biru 
child: birali 
child: birrali 
child: gaːdil 
child: ganɟal 
cloud: gundaː 
cloud: yuru 
cold: garil 
cold: yagal 
die: balagi 
die: balagi- 
die: balu 
dirty: daumbrai 
dog: buruma 
dog: maːdaːy 
dog: miri 
dog: muran 
dog: ŋuran 
dog: wanti 
dog: waṛa(i) 
drink: da(l)- 
drink: ŋalgi- 
ear: bina 
ear: bina(ŋ) 
ear: bina ~ wud̪a 
ear: maŋa 
earth: daimar 
earth: dant̪i 
earth: daun 
earth: d̪awun 
earth: d̪aymar 
eat: d̪a- 
eat: da(l)- 
eat: d̪ali- 
egg: gau 
egg: gawu 
egg: guː 
elbow: binɟu 
elbow: ŋunugaː 
emu: dinawan 
emu: d̪inawan 
emu: dinbir 
emu: ŋuri 
eye: dili 
eye: mil 
eye: ŋulu 
fall: bunda- 
fall: bundagi- 
father: baɟar 
father: buwaɟar 
father: dilŋga 
father: yabu 
fat (n.): wamu 
fear: gial 
fear: gialbula 
fight: bumali- 
finger: manduyi 
fingernail: yulu 
fire: buṛi 
fire: wiː 
fire: wiː ~ duː 
fish: guya 
fish: gwiya 
fish: ŋalur 
fish: ŋaːluːr 
fly (n.): ban̪aːyal 
fog: duba 
foot: dina 
foot: d̪ina 
foot: d̪ina ~ babur 
foot: manduṛi 
forehead: ŋuyu 
fruit: gumi 
girl: miyal 
give: dawana- 
give: wuː- 
give: wuni- 
good: gaba 
hair: budi 
hair: duin 
hand: maː 
hand: mara 
hand: maṛa 
head: baŋu 
head: bangu(i)n 
head: dagal 
head: daigal 
head: d̪aygal 
head: gauga 
head: guga 
heart: giː 
hear: winaŋa- 
hear: wuniŋa(l)- 
he/she: ŋuru 
hit: buma- 
hit: buma(l)- 
hole: biru 
house: gaɲa 
house: gundi 
husband: gulir 
I: ŋai 
I: ŋana 
I: ŋaɟu 
I: ŋaya 
kangaroo: bandar 
kangaroo: baura 
kangaroo: baura (big grey¼ 
kangaroo: bundar 
knee: d̪inbir 
knee: diŋbir 
laugh: ginda- 
laugh: gindama- 
laugh: gindama(l)- 
leg: dala 
liver: gana 
liver: gan̪a 
louse: muni 
louse: mun̪i 
louse: muni ~ mun̪i 
man: dayin 
man: guri 
many: barala 
many: budila 
many: burulaː 
meat: d̪iː 
meat: diŋga 
meat: d̪iŋgaː 
meat: yuṛi 
moon: balu 
moon: dilgan 
moon: gilay 
moon: giwaŋ 
mosquito: muŋin 
mother: guniɟir 
mother: maːmi 
mother: ŋamba 
mouth: gai 
mouth: mini 
mouth: ŋaːy 
navel: wirigal 
night: buluwi 
not: gamil 
not: walay ~ waːl 
old: wayama 
old: wiyamaː 
one: biːr ~ milan 
one: ŋay 
person: dayin 
person: d̪ayin 
person: mari 
person: maṛi 
rain: dulubari 
rain: galibari 
rain: yuru 
rain: yuyu 
river: balun 
road: yurun 
rotten: nuwi 
say: gai gualda- 
say: gura- 
see: ŋamu(l)- 
see: ŋana- 
see: ŋara- 
see: ŋari(l)- 
sit: binda- 
sit: wiɲa- 
sit: wilawa- 
skin: yulay 
sky: gunagala 
sleep: baba- 
small: bubuy ~ baɟin 
small: gaːɲmara 
small: gaːnmara 
smell: ŋawi 
smell: ɲul 
smoke: buːbili 
smoke: d̪uː 
smoke: d̪uː- 
smoke: dubar 
snake: dambul 
snake: duyu 
snake: d̪uːyu 
snake: ŋandaba 
snake: nurai 
snake: nuray 
snake: yaba 
stand: wara- 
star: gutaray 
star: miri 
stone: maṛama 
stone: mayama 
stone: yaral 
suck: ŋamugi- 
sun: duni ~ yay 
sun: duri- yaray 
sun: yaṛa 
take: garma(l)- 
thigh: d̪ara 
thou: ŋinda 
thou: ninda 
throat: wuːŋuy 
throat: wuyu 
thunder: duluma 
thunder: duluma(i) 
tongue: dalaɲ 
tongue: d̪alay 
tooth: ira 
tooth: yiṛa 
tooth: yiya 
tree: muːyan 
tree: yudil 
two: bular 
vagina: mala 
vagina: yaŋgal 
vomit: gawili- 
walk: banaga- 
walk: na- 
walk: nawa- 
walk: wuŋguwali- 
walk: yana- 
walk: yinaː- 
wash: bama(l)- 
water: gali 
water: gamu 
water: guŋan 
weep: yuga- 
we (incl.): ŋiyana 
we (incl.): ŋiːyanay 
we two (incl.): ŋali 
we two (incl.): ŋalina 
what: miɲa 
where: miɲanda 
who: ŋaːna 
wife: gulir 
wife: guliran 
wind: buli 
wind: buluṛu 
wind: mayraː ~ yarrga 
wind: yambi 
woman: yinar 
wood: bundi 
wood: wiː 
