all: bagh 
ashes: ɲaφ 
ashes: ʔɲaφ 
ashes: kiɲaφ 
ashes: kinyaf 
ashes: nyaf 
back: dob 
back: dobuhi 
back: gori 
belly: umbo 
belly: ʔumbo 
big: ïmbede 
big: ʔɨmbede 
big: umbete 
big: yimbwi 
big: yumbwi 
bird: wafi 
bird: waφi 
bite: rič 
bite: rich 
bite: riri 
bite: rit 
black: wari 
black: ʔwari 
black: wariye 
black: ʔwariye 
blood: wunande 
blood: yaßɨ 
blood: yaßi 
blood: yaßu 
blood: yavi 
blood: yavï 
blood: yavu 
bone: diage 
bone: ngafe 
bone: ngape 
bone: ŋape 
bone: ŋaφe 
breast: mɨɲ 
breast: miɲ 
breast: miny 
breast: mïny 
brother: chech(e) 
brother: jhajhe 
brother: jhejhe 
brother: kiseyu 
calf: micu 
calf: mihu 
calf: mitu 
calf: mityu 
calf: rimtu 
cassowary: dagi 
cassowary: dagwi 
cassowary: dwajhi 
cheek: rongg 
cheek: roŋk 
chest: mand 
chin: kowičambe 
chin: kowichambe 
chin: kowihambe 
chin: kowisambe 
cloud: ngeri 
cloud: ŋeri 
cloud: ŋiɲ 
cloud: ŋiɲ hu 
cloud: nginy 
cloud: nginy hu 
cloud: nginy (tu) 
cloud: ŋiɲ tu 
cold: uwi 
cold: ʔuwi 
cold: wem 
cold: wum 
come: -adi/-andi 
come: -andi 
come: mandi 
count: maŋi 
cut: fend 
die: ahi 
die: ati 
die: at(y)i 
die: n-aci 
die: n-ahi 
die: n-ati 
dog: ʔec 
dog: ety 
dog: nyombwi 
dog: ɲombwi 
dog: yet 
drink: na 
drink: ne 
ear: aŋgʌ 
ear: angga 
ear: angge 
ear: aŋge 
ear: mangge 
ear: maŋge 
earth: ɨ 
earth: ʔɨ 
earth: ɣɨ 
earth: ghï 
earth: ï 
eat: ke 
eat: na 
eat: na\ 
eat: naʔ 
egg: fangg 
egg: no 
egg: nyo 
egg: nyo\ 
egg: ɲo 
egg: ɲoʔ 
egg: uye 
egg: ʔuye 
egg: wiye 
egg: φaŋk 
emu: dagi 
emu: dagwi 
emu: dwaǯi 
eye: ra\ 
eye: raʔ 
eye: rar 
far: wonjhi 
far: wonǯi 
father: kiyi 
father: nuyi 
fat (n.): ghiye 
fat (n.): ɣiye 
fat (n.): mi¼an 
fat (n.): minyang 
fat (n.): nyong 
fat (n.): ɲoŋg 
fat (n.): uye 
fat (n.): ʔuye 
fight: yɛŋg¼ 
finger: humbo\ 
fingernail: cu 
fingernail: hu\ 
fingernail: huʔ 
fingernail: su\ 
fingernail: suʔ 
fingernail: tyu 
finger: tumbo 
finger: tumbo\ 
fire: wace 
fire: waha 
fire: wase 
fire: watye 
fish: umo 
fish: ʔumo 
fly (n.): niŋgraiʔ 
fly (n.): yiwanjh 
fly (n.): φrik 
fly (n.): φuro 
fly (v.): frik 
fly (v.): furo 
fly (v.): ninggrai\ 
forest: čar 
forest: char 
forest: jhar 
forest: ǯar 
full: -at 
full: bire 
girl: abonye 
girl: ambonye 
girl: a(m)bonye 
give: kweo 
give: nieɣ 
give: nieg 
give: (y)e- 
good: oghi 
good: oɣi 
grass: ɲuŋgu 
hair: yu 
hand: ci 
hand: curam 
hand: curamci 
hand: hi 
hand: hiŋapɨ 
hand: hingapï 
hand: huram 
hand: si 
hand: suram 
hand: timi 
hand: tyi 
hand: tyuram 
head: ŋau 
head: ngawo 
head: ŋawo 
head: ŋawu 
hear: -utungu 
hear: wutuŋu 
heavy: mai 
heavy: maih 
heavy: maiye 
heavy: mai(ye) 
here: mo 
here: mu\(di) 
here: muhdi 
here: mundi 
he/she: keghi 
he/she: keɣi 
he/she: n- 
he/she: ni 
he/she: w- 
hit: ba\ …-ad 
hit: yengg 
house: bajh 
house: baǯ 
house: nyonggo 
house: ɲoŋgo 
I: ch- 
I: g- 
I: jh- 
I: k- 
I: nge 
I: ŋe 
I: ŋeßi 
I: nge-vi 
in: wabe 
in: wuyi 
laugh: wu na 
laugh: wure na\ 
laugh: wure naʔ 
laugh: wur(u) na 
laugh: wuru na 
laugh: wuru na\ 
laugh: wuru naʔ 
leaf: mane 
leaf: njhau 
leaf: nǯau 
leaf: ra 
leaf: ra\e 
leaf: raʔe 
leaf: yam 
leaf: yem 
left: a 
left: ʔa 
left: ʔaʔa 
left: a\a 
left: \a\i 
left: ʔaʔi 
left: ʔaßi 
left: avi 
left: tengg-a\i 
left: teŋgaʔi 
leg: ɲiŋga 
leg: ɲiŋge 
leg: mangge 
leg: maŋge 
leg: mihu 
leg: mitu 
leg: mityu 
leg: nyingga 
leg: nyingge 
leg: rimtu 
lie: aha 
lie: ase 
lie: ate 
lightning: fris 
lightning: pric 
lightning: prih 
lightning: prit 
lightning: prit(y) 
lightning: φris 
long: dobwi 
louse: (ï)mbiski 
louse: mbic 
louse: mbiski 
louse: ɨmbiski 
louse: mbity 
louse: pinjhi 
louse: pinǯi 
louse: φinǯi 
man: waiyi 
man: ʔwaiyi 
many: wan 
many: ʔwan 
meat: mbuč 
meat: mbuch 
meat: umo 
meat: ʔumo 
moon: ɣaŋgu 
moon: ghanggu 
moon: ieu 
moon: ireo 
moon: mingg 
moon: miŋg 
morning: bur\ane 
morning: burʔane 
morning: yamb 
mother: kumo 
mother: kumo/maiye 
mother: kumo/mawo 
mother: kumo/mo(i)yu 
mother: maiye 
mother: mawo 
mother: moiyu 
mother: moyu 
mountain: rand 
mountain: randi 
mountain: randiɣ 
mountain: rand(igh) 
mouth: kowi 
mouth: kwowi 
mouth: k(w)owi 
mouth: mïm 
mouth: mɨm 
name: ɲamb 
name: ɲambu 
name: nyamb 
name: nyamb(u) 
nape: mintengk 
nape: minteŋk 
nape: numbut 
nape: rohu 
nape: sumbut 
new: tineye 
new: tin(g)eye 
new: tiŋeye 
new: urufwi 
new: uruhwi 
new: uruφwi 
new: ʔuruφwi 
night: bur 
night: wunggi 
night: wuŋgi 
nose: kïme 
not: ghini 
not: hagi 
not: ɣini 
not: segi 
not: segyi 
not: seg(y)i 
old: gang 
old: gaŋ 
old: ɲiφi 
old: ɲiφii 
old: merimbo 
old: nyifi 
old: wuri 
old: wuri(\i) 
old: wuriʔi 
one: iri 
one: (i)ri 
one: ïri 
one: ri 
other: aya 
person: wuchi 
person: wuči 
person: wuti 
rain: wiye 
rat: ifi 
rat: ifikyi 
rat: (ï)mbirichi 
rat: iφi 
rat: iφikyi 
rat: ɨmbiriči 
rat: mbiriči 
rat: mbiriki 
rat: mbirikyi 
red: ambo 
red: ʔamboy 
red: amboye 
red: ʔamboye 
red: ambo(ye) 
right: ŋaɲe 
right: nganye 
right: nganye/twan 
right: tan 
right: twan 
right: twon 
ripe: ʔʊri 
ripe: uri 
road: maɲe 
road: maɲeriŋk 
road: manye 
road: m(an)yeringk 
road: myeriŋk 
road: ngïm 
road: ŋɨm 
rope: care 
rope: hare 
rope: sare 
rope: tambʌ 
rope: tyare 
rotten: cɨɣ 
rotten: chigi 
rotten: čigi 
rotten: nyu\o 
rotten: sɨɣ 
rotten: siɣ 
rotten: sigh 
rotten: t(y)igh 
rotten: ɲuʔo 
rub: nyangg g-ab 
salt: ɣat 
salt: ghat 
sand: jhijhi 
sand: ǯiǯi 
say: wand 
scratch: gri 
scratch: griʔ 
scratch: gri0 
scratch: kiraßi 
see: noand 
see: nu\ond 
see: nuʔond 
see: nu(\)onjh 
see: nu\on(jh) 
see: nuʔonǯ 
see: nuwonǯ 
short: bog 
