all: nakläːy 
animal: súu 
arm: ta 
arrow: ple 
ashes: sung 
ashes: suŋ 
bark: (di) suk 
bark: wong 
belly: kabukrup 
belly: nu 
belly: tegwan 
belly: tugean 
belly: tugwen 
belly: tungkeng 
big: kango 
big: kangot 
big: kangot(go) 
bird: iü 
bird: iü 
bird: iwe 
bird: u 
bird: ü 
bird: wu 
black: kaskoho 
black: sëgwo 
black: səgwo 
black: sunghi-sugho 
black: susnego 
blood: kin 
blood: king 
blood: kin(g) 
blood: kiŋ 
bone: dang 
bone: don 
bone: dɔn 
branch: bakʌnʌŋ 
branch: kali 
breast: min 
breast: misi 
burn: branggo 
burn: klanke 
burn: nëmbring 
burn: nemleng 
burn: püt 
butterfly: ikwabot 
butterfly: iw-kobot 
butterfly: ügabot 
butterfly: u-kabat 
butterfly: ü-kwabot 
butterfly: wi-kabot 
cassowary: iswari 
cheek: skot 
chest: dabu 
child: denap 
child: dʷo 
chin: tëgwot 
cloud: gum 
come: ʷɛŋ 
come: (k)weng 
come: pungsa 
come: puŋsa 
come: uweng 
crocodile: wëmit 
day: ku 
day: ʉsye 
die: kebong 
die: këbong 
die: kəbɔŋ 
die: kebong(ko) 
dig: tʷɛt 
dog: udo 
dog: udʷö 
drink: (bu-)drop 
drink: drop 
drink: drɔp 
dry: elurkaike 
dry: lukoi 
dry: pang 
dry: rokoi 
dry: sʌk 
ear: kama 
ear: kamaswa 
earth: nan 
earth: nʌn 
eat: dam 
eat: tɛn 
egg: si 
egg: (u)si 
elbow: ta-tëbem 
emu: isuali 
eye: namu-tugon 
eye: nëmu-ntëgun 
eye: nmu 
eye: nmu-tugon 
eye: numë-tugon 
eye: numu 
father: aya 
fat (n.): bena 
fat (n.): bno 
fat (n.): këdong 
fat (n.): ?pupʷöm 
fear: suali 
feather: dit 
feather: u dit 
feather: ü-dit 
feather: wi-dit 
feather: wu-dit 
finger: masi-grang 
fingernail: ta-wan 
fingernail: -wan 
fingernail: won 
finger: ta-grang 
fire: kai 
fire: koi 
fire: koy 
fire: woy 
fish: ndasi 
fish: wob 
fish: wop 
five: mun 
fly (n.): nabun 
fly (n.): nabün 
foot: masi 
forehead: songdang 
forehead: suɔndɔn 
forest: dʷɛn 
forest: dwen 
four: namon-namon 
fruit: don 
full: damɔy 
full: nu mo temoi 
full: nu-tamoi 
full: nu-tmoi 
give: iti 
give: ma 
good: sʷɛy 
good: suey 
good: suwei 
good: suwenghe 
good: swei 
good: swey 
grass: pugʷɛn 
grass: udong 
green: diswaki 
green: diswaki(-ki) 
green: kiki 
hair: bëto-dap 
hair: bëto-dop 
hair: boto-dop 
hair: bta-dop 
hair: dop 
hand: ta 
head: eikabiu 
head: ikabu 
head: ikabuw 
head: ingkabu 
head: iŋkabu 
head: weŋkabu 
head: yugkabi 
heart: nsʌn 
heavy: ire 
here: ngge 
here: nggeno 
he/she: nemad 
he/she: nemak 
he/she: nemat 
he/she: nëmot 
hole: put 
house: yap 
house: yʌp 
I: ad 
I: genam 
I: gënam 
I: gənam 
I: gənʌm 
kangaroo: wɔsu 
knee: gabem 
knee: masi-tëbem 
knee: s(e)gabem 
knee: skabom 
knee: tabem 
leaf: (di-)dop 
leaf: dop 
leaf: ndop 
leaf: soa 
leaf: sua 
leg: masi 
leg: mati 
lightning: kuirop 
lip: hram-sub 
long: ualɔŋ 
long: walong(go) 
long: warang 
long: warong(go) 
louse: sena 
louse: sëna 
louse: səna 
louse: sna 
man: sʉdʷö 
man: sedo 
man: sëru(e) 
man: sëruë 
man: sërüë 
man: səruə 
man: sude 
many: mataha 
many: matasa 
many: mataso 
moon: banu 
morning: wadikwago 
mosquito: son 
mother: mia 
mountain: mëndung 
mountain: mʉndʷüm 
mountain: mudum 
mountain: mudʷüm 
mountain: mudung 
mountain: mundung 
mouth: hram 
mouth: (h)rom 
mouth: lom(-cuk) 
mouth: lom(-put) 
mouth: slom-suk 
name: shiu 
name: si 
name: siü 
name: siü 
name: siue 
name: su 
name: sʷü 
name: sü 
neck: blun-don 
neck: bonti-dang 
neck: brin-don 
neck: brun-don 
neck: sësu(-don) 
neck: sësu(-dong) 
new: demening 
new: dəmɛnɪŋ 
new: imemingke 
new: memëninggë 
night: ku-krik 
night: usëgo 
night: wadi 
nose: nbem 
nose: nëmbëm 
nose: nëmbwem 
nose: nëmbwëm-put 
not: kʷa 
not: kua 
not: kwa 
