animal: binɑtaŋ 
arm: na-tan 
arm: na-tang 
arm: nɑtan 
ashes: adúr 
ashes: ədur 
ashes: ëdúr 
back: na-mod 
back: nɛmɪh 
back: ne-mih 
back: nɑmɔd- 
belly: ne-bet 
belly: nɛbɛt- 
big: aal 
big: al 
big: ɑːl 
bird: hi 
bird: hi\ 
black: akán 
black: ɑkan 
blood: we\ 
blood: wɛʔ 
blood: weh 
bone: taróp 
bone: tarɔp 
breast: nidut- 
breast: nidút 
cheek: naja 
cheek: nardëdúng 
cheek: nəḍəduŋ 
chest: ni-der 
chest: nidɛr 
child: ningkëbín 
child: niŋul 
child: ningúl 
chin: naḍyar 
chin: najár 
chin: nard-yar 
claw: kuh 
claw: kux 
cloud: bontú 
cloud: te\eh 
cloud: tɛʔɛh 
cold: kabúk 
cold: mihíng 
cold: mihiŋ 
come: mɑ 
come: ma 
die: abér 
die: ebér 
die: ɛbɛr 
dog: kur 
drink: nɑ 
drink: na 
dry: takat 
dry: takát 
dry: tëkát- 
ear: ne-wer 
ear: nɛwer 
ear: ne-wir 
earth: maké\ 
earth: makey 
earth: makéy 
eat: mahak 
eat: mahák 
egg: ëdáng 
egg: ədaŋ 
egg: idáng 
eye: ne-en 
eye: nɛːn 
father: nemán 
father: niman 
father: nimán 
fat (n.): "grease 
fat (n.): mokúun 
fat (n.): mukun 
fat (n.): mukún 
fat (n.): tamád 
fat (n.): tamát "fat 
fat (n.): tamɑḍ 
fingernail: kuh 
fingernail: kux 
fire: addá-war 
fire: addɑwar 
fire: ad-waer 
fish: ɛbiː 
fish: ebíi 
fish: eeb 
five: əweh 
five: ëwéh 
five: yi\ 
fly (n.): melerkél 
fly (n.): mɛlɛrkɛl 
fly (n.): waléer 
fly (v.): liir 
fly (v.): lir 
foot: nettak 
foot: nɛttak- 
forehead: ne-engmará 
forehead: nɛnmərɑ 
forehead: n-enmërá 
four: ut 
four: ut- 
fruit: ih 
fruit: ip 
fruit: ip- 
give: g-än 
give: -gɛn 
give: na-g-\en 
good: munók 
good: nok 
good: nɔk 
hair: kelór 
hair: nɛttu kərid 
hair: nettu këríd 
hand: na-tan 
hand: na-tang 
hand: nɑtan 
head: ne-ihkëdá 
head: nettu 
head: nɛttu 
he/she: g 
hit: gub 
hit: gub- 
house: hëwí 
house: üwi 
house: üwi 
I: n 
I: nɑ 
I: na 
I: na(l) 
knee: ne-uk 
knee: ne-uka-bál 
knee: neukɑbal 
leaf: way 
leaf: wey 
leaf: wɛy 
leg: nettak 
leg: nɛttak- 
lip: liib 
lip: nɛtabɔḍ 
lip: ne-tabórd 
long: laang 
long: lang 
long: laŋ 
louse: akúyn 
louse: ɑkuyn 
man: aním oh 
man: umkɛnɪ 
man: umkení 
meat: meehíl 
meat: mɛːhɪl 
meat: mihíl 
moon: ur 
mother: no-oy 
mother: n-oy 
mother: nɔy 
mountain: buk- 
mouth: naḍ 
mouth: nad-bang 
mouth: nard 
name: nɛnɪh 
name: neníh 
navel: betmá 
navel: na-kigén 
navel: ne-kigen 
navel: nɛkigɛn 
neck: nawád- 
neck: nidëlóng 
neck: nɑwad- 
new: habá 
new: hɑbɑ 
night: akán 
night: il-kan 
night: ɑkan 
nose: ne-muyng 
nose: ne-muyng-ba 
nose: ne-muyng-dok 
nose: nɛmuyŋdok 
one: nuk 
rain: anór 
rain: anúr 
rain: ɑnur 
red: këkiik 
red: kiːʔ 
red: kii\ 
road: age 
road: agé 
road: lam 
root: arík 
root: irik 
root: torüyp 
sand: alát 
sand: ɑlat- 
see: ur 
shoulder: nekëbél 
shoulder: nikebél 
shoulder: nikɛbɛl 
sit: mih 
skin: ne-kul 
skin: nikwiʎ 
skin: ni-kwíl 
sleep: tʰɑ 
sleep: ta 
small: kɛkeyn 
small: kekéyn 
small: kikeníit 
smoke: bon 
smoke: bɔn 
smoke: boon 
snake: mon 
snake: mun 
stand: matíh 
stand: mettéh 
stand: mɛttɛh 
star: ib 
star: ib- 
stone: weer 
stone: wor 
stone: wɔr 
sun: məḍi 
sun: mërd.í 
sun: wed 
they: ini gi 
thou: Ø 
three: tong 
three: tɔŋ 
three: tuung 
tongue: nɛleːb- 
tongue: ne-leeb 
tooth: ne-weh 
tooth: nɛwɛh 
tooth: ne-wih 
tree: attéy 
tree: əttay 
tree: ëttéy 
two: ërák 
two: əru 
two: ërú 
walk: agáy 
walk: ɑgɑy 
warm: harák 
warm: tut 
warm: tut- 
water: arɑ 
water: ará 
water: yar 
weep: nɛnʔɛnu 
weep: n-en-\enú 
weep: n-en-tamál 
we (incl.): pi 
we (incl.): t 
we: ngi 
we two (incl.): p-le 
we two: ng-le 
white: a\ayal 
white: ayál 
white: ɑyal 
wind: namáyr 
wind: nemér 
wind: nɛmɛr 
woman: aním-ar 
woman: ɔkkɛnɪ 
woman: okkení 
wood: addɑwar 
wood: əttay 
you: g 
you two: eg-le 
