animal: binɑtaŋ 
arm: na-ttang 
arm: nattaŋ 
ashes: daggung 
ashes: dɑgguŋ 
ashes: mobëro 
ashes: moboro 
back: naru-ké\e 
back: naurú-ke\e 
back: nawru 
back: nɑwru 
belly: na-bbu 
belly: na-búx 
belly: nɔːli 
belly: nooli 
big: ara 
big: ɔrɑ 
big: ora 
bird: aré 
bird: harál 
bird: harɑl 
bird: harré 
black: ana 
black: ɛnɑ 
black: ena 
blood: way 
bone: ka\al 
bone: kaʔal 
bone: ke\e 
bone: neng-ke\e 
bone: neng-qa\al 
breast: hang 
breast: hawung 
breast: hɑwʊŋ 
breast: nayang 
cheek: na-war 
cheek: nuttal 
cheek: nuttál 
chest: na-\a 
chest: ne-era 
chest: nɛːrɑ 
child: neyna-wáke 
child: nuqqal 
child: n-uqqal 
child: wakke 
chin: na-war 
chin: na-war-ke\e 
chin: nɑwar 
claw: kusi 
cloud: bunal 
cloud: unas 
cloud: unnas 
cold: daggɑ 
cold: dagga 
cold: maba 
come: mɑ 
come: ma 
dark: patta 
die: hinnɑ 
die: hinna 
dog: jabbe 
dog: yabbal 
dog: yabé\ 
drink: ba\áy 
drink: bay 
drink: baʔɑy 
dry: siisa 
dry: sisa 
ear: nau-wal 
ear: nau-we-wáya 
ear: na-we(-waya) 
ear: nɑuwal 
earth: mɔː 
earth: moo 
eat: nɑ 
eat: na 
egg: reeku 
egg: reku 
egg: takul 
egg: tɑkul 
eye: nayiti 
eye: na-yiti 
eye: na-yti 
eye: na-ytí 
father: nibɑ 
father: niba 
father: nisar 
father: nissar 
fat (n.): akku 
fat (n.): akkú 
fat (n.): kawáta 
fat (n.): ɔrɑ 
fat (n.): ora 
fingernail: kusi 
fire: ará 
fire: hará 
fire: ra 
fire: ɑra 
fish: hap 
fish: hapu 
fish: ke\e 
fish: kɛʔɛ 
five: yasing 
five: yessing 
five: yɛssɪŋ 
fly (n.): hibbi 
fly (n.): hibi 
fly (n.): hubbul 
fly (v.): hiilang 
fly (v.): hilang 
fly (v.): hilaŋ 
foot: na-uta 
foot: na-wta 
foot: na-wtá(h) 
foot: nɑwta 
forehead: nassa-kí 
