arm: yehe 
bad: wunte\mo\an 
bad: wunteʔmoʔan 
belly: hum 
bird: feydey 
black: wuʔumʔurun 
black: wu\un\urun 
blood: nefum 
bone: yefa 
breast: muwi 
child: erpam 
come: ya 
dog: wa\ay 
dog: waʔay 
earth: hunuy 
ear: wapray 
egg: ya-\wey 
egg: yaʔwey 
eye: nia\wey 
eye: niaʔwey 
father: pahai 
fire: ir\i 
fire: irʔi 
good: unay 
head: tara-\wey 
head: taraʔwey 
leg: huwa 
louse: numun 
louse: nunum 
man: tama 
man: ta-ma 
moon: nef\a 
moon: nefʔa 
mother: nawah 
nose: fikihinwi 
rain: huyuy 
red: wu\ahay 
red: wuʔahay 
skin: fuhum 
smoke: hofənúm 
smoke: hofënúm 
star: ware 
stone: hijopey 
stone: hiǯopey 
sun: napuy 
tongue: tafëki 
tongue: tafəki 
tooth: pia-\wey 
tooth: piaʔwey 
tree: muy 
water: o\wi 
water: oʔwi 
wind: fi\in 
wind: fiʔin 
woman: tawa 
