ankle: mitiɹi 
back: tati 
bad: winceni 
belly: maṭi 
belly: tuwaɹ̣ 
big: kapil 
bite: -titip- 
black: cikim 
blood: wulkiɹim 
bone: muwa 
breast: yeŋi 
cheek: ŋalŋiɹmulic 
child: yeɹi 
cloud: weŋi 
crocodile: awuɹumpun 
cut: -cəɹ- 
cut: -kit- 
dig: -tim- 
dog: wacan 
dust: penni 
dust: punpun 
ear: caŋi 
ear: ceŋi 
earth: pitlak 
eat: -wuki- 
egg: amuwaɹi 
elbow: pipen 
emu: amuciɹ 
emu: muciɹ 
eye: miɹi 
father: t̪ita 
father: tit̪a 
fat (n.): anayi 
fat (n.): nayi 
feather: amuni 
fire: cenci 
five: muri ŋinɟi 
flower: maɹ̣ka 
foot: peɹi 
forehead: wemi 
four: ɟiɟukuni ɟiɟukuni 
full: t̪iyeɹ 
good: kati 
grass: pali 
grass: weɹi 
hair: pimeɹ̣ 
hair: piyameɹ̣ 
hand: punti 
head: pəyi 
head: piyi 
heart: miɹiɹim 
heavy: wutit 
heavy: wutut 
he/she: naŋ 
he/she: ŋiya 
he/she: -ø- 
hole: yerṭi 
house: ŋatta 
I: -iŋ- 
I: -ŋi- 
I: -uŋ- 
I: yikin 
kangaroo: awacəwuɹaŋ 
kangaroo: wacəwuɹaŋ 
knee: peŋki 
laugh: -aṭu- 
leaf: muliŋi 
leg: wuɹaŋ 
liver: puɹitil 
long: malika 
long: malupu 
man: meɹi 
meat: awu 
moon: piŋkal 
mosquito: awinŋal 
mosquito: winŋal 
mother: kitla 
mouth: ŋal 
name: puma 
navel: t̪etiɹ̣ 
navel: tetiɹ̣ 
neck: mant̪i 
new: yaŋi 
new: yeŋi 
night: nici 
not: ampi 
old: kunikuni 
old: kunukunu 
old: mapintipinti 
old: pintipinti 
old: tayan 
one: ŋinci 
rain: wuti 
red: kanitiɹŋal 
red: kukaɹa 
red: wuɹiwuɹi 
ripe: wuyaɲmi 
river: peteɹ 
river: witi makat 
road: tampati 
road: tempeɹetuk 
rope: puca 
rotten: kumunpu 
sand: maɲiɹ̣ 
sand: munniɹi 
sea: puɹaŋaŋ 
sharp: meltem 
shoulder: kaɹ̣i 
skin: teɹipiɹi 
small: capac 
small: yipeṭi 
smoke: camu 
snake: amalika 
snake: amalipu 
spit: citalwil 
spit: -kutluk- 
stand: -yaɹaŋ- 
star: witli 
stone: kaɹitla 
straight: cetma 
straight: t̪atma 
sun: panti 
tail: yeɹi 
take: -mittim- 
take: -niwanti- 
they: -t- 
they two: watipini 
they: wati 
thigh: puwa 
thou: -ɲi- 
thou: -iɲ- 
thou: naɲ 
thou: nan 
thou: nati 
thou: -ti- 
three: nimpini 
today: yaŋi 
today: yeŋi 
tomorrow: niciŋani 
tongue: ŋalt̪iɹit̪iɹi 
tooth: tiyeɹ̣ 
tree: t̪awuɹ̣ 
two: cicukuni 
vagina: ciyen 
vomit: wewe 
walk: paɹ̣pac- 
wallaby: awamaŋkan 
wallaby: piɹaŋ 
wash: -pet- 
wash: -put- 
water: wuti 
we (excl.): kati 
we (excl.): -kiti- 
we (incl.): ŋaŋkinim 
we (incl.): ŋaŋkiṇim 
we (incl.): -ŋki- 
we (incl.): -nki.... nim 
we two (excl.): katipini 
we two (incl.): ŋaŋki 
we two (incl.): -ŋki- 
we two (incl.): -nki- 
what: ŋinca 
when: kiminp(ay)a 
where: apen 
white: pukam 
who: ŋinimpa 
wind: maɹawuk 
woman: muku 
woomera: kalan 
woomera: manpuk 
year: waɹi 
yesterday: cuwaŋanan 
yesterday: cuwaya 
you two: natipini 
