all: udegi 
arm: didißa 
arm: didiva 
ashes: butara 
bad: waiki 
bark: tubaiaigi 
bark: tuba-iaigi 
belly: souve 
belly: sowe 
belly: soweba 
belly: tou 
big: auki 
big: aupuaki 
big: dobudaki 
bird: ireva 
bird: teboari 
bite: koiiani 
bite: koi iani 
black: saaki 
black: sa\aki 
black: saáki 
blood: iáa 
blood: laː 
bone: inina 
boy: apena 
boy: tawora 
branch: rigi 
breast: kobaiba 
brother: nakeba 
brother: nakepa 
brother: nikepa 
burn: owai aiagata 
butterfly: beberu 
calf: kurina 
chest: koba 
chest: kobaba 
child: abe 
child: abi 
chin: wasena 
chin: wasina 
chin: wasina ~ wasena 
cloud: dagadaga 
cold: nanupa 
come: kautu 
come: kuwanakausa 
come: kuwana-kausa 
crocodile: huwaa 
crocodile: ua 
dark: dibura 
daughter: tina 
day: bauwa 
die: ibisi 
die: ipisi 
dig: guiata 
dig: isani 
dog: oana 
dog: ona 
drink: ina 
ear: aku 
ear: aku-be 
ear: akuru 
ear: aku-ru 
earth: apa 
earth: geba 
eat: inatu 
eat: onogata 
egg: abegi 
elbow: agi 
elbow: didi-koba 
elbow: komo 
eye: boißi 
eye: boivi 
eye: iabae 
face: kauki 
face: vaia 
father: ba 
father: bage 
feather: igußi 
feather: iguvi 
fight: isoatini 
finger: didi 
finger: dive 
finger: lakoi 
fingernail: lekahe 
fire: boareki 
fire: ova 
fish: baida 
fish: baita 
flower: pawaiana 
fly (n.): togaba 
fly (n.): yogaba 
fog: ißaru 
fog: ivaru 
foot: koi 
foot: koina-iapai 
forehead: beßa 
forehead: beva 
forest: unuwa 
fruit: boißi 
fruit: boivi 
girl: saofa 
give: enato 
give: enatu 
good: ßasua 
good: vasua 
guts: sisia 
hair: iorova 
hair: yoroba 
hand: didia-bara 
hand: dive 
hand: iapai 
head: ioreva 
head: yoarowai 
hear: gouata 
heart: sowa 
here: ehu-tu 
here: this\ + tu 
he/she: ao\o 
he/she: aoó 
he/she: owaː 
he/she: owaa 
hit: isoatini 
house: nißa 
house: niva 
husband: ßɛki 
husband: veki 
I: nai 
I: yokaba 
I: yokana 
jaw: wasina ~ wasena 
kill: ibani 
knee: ehó 
laugh: isini 
leaf: tubaiaiki 
leaf: tuba-iaiki 
leaf: tubaia-iki 
left: ia kani 
leg: koina 
lip: asiva 
live: iaisi 
liver: sowa 
long: biroki 
louse: umana 
louse: umána 
man: goasava 
man: tapata 
many: hutuba 
meat: busaki 
moon: ßaisa 
moon: vaesa 
moon: vaisa 
mosquito: nanuia 
mosquito: nanula 
mother: a (?) 
mother: hai 
mother: hako 
mountain: boißi 
mountain: boivi 
mouth: abe 
mouth: abina 
name: waa anu 
name: waa-anu 
name: waː anu 
nape: oara 
navel: iboara 
neck: o 
neck: oara 
night: ena 
night: wabua 
nose: ina 
nose: ine 
old: negata 
one: pebogi 
rain: iabara 
rat: iauyoa 
red: boareki 
right: itini 
river: iacora (?) 
road: abe 
road: abei 
rope: baruti 
rope: hua 
rope: ßaroti ~ baroti 
rope: ua 
rope: uia 
rope: varosi 
rope: varoti 
salt: ba\aßa 
salt: ba\ava 
salt: baáva 
salt: koneva 
sand: baiva 
say: guna "speak 
say: kue 
say: tuene 
sea: paiva 
sea: tauru 
see: babu-gai 
see: babunari 
see: babu-nari 
shoulder: paßai 
shoulder: pavai 
sing: iavana 
sing: waurana 
sister: iaukepa ~ iaukeba 
sister: tobáini 
sit: tauna 
sit: ukenatausi 
skin: iaina 
sky: pukiva 
sleep: hunatu 
sleep: uiai 
small: goigi 
small: kirigi 
small: kiriki 
smell: bona utatu 
smoke: utubuna 
snake: ialaba 
snake: iaraba 
son: euabu 
spit: ebesa 
spit: ibesa 
spit: igɛbana 
stand: iahi 
star: hisiu 
star: itu 
stone: aroba 
stone: haropa 
sun: bauwa 
sun: pava 
tail: batußi 
tail: batuvi 
that: eyo 
that: eyo ~ eyu 
that: eyu 
there: eyo-tu 
there: that\ + tu 
they: wau 
thigh: kurina 
this: ehu 
thou: uwa 
thou: wabihu 
thou: wai 
throat: godoi 
throat: koto 
tongue: bebura 
tooth: vai 
tooth: waina 
tree: tuba 
tree: tuba\a 
tree: tubaá 
vomit: bidina 
walk: evana 
warm: siau 
water: ßara 
water: vara 
weep: poasini 
weep: poasini- 
we (incl.): nai 
we: nai 
what: anaba 
when: mada 
where: natu 
white: kuia 
who: ano 
wife: ßɛki 
wife: veki 
wind: oraburiki 
wing: iakeki 
woman: tina 
yellow: boria 
you: wabihu 
