all: milbamudi 
ankle: edukwod 
arm: tand 
arm: tond 
arm: tonda 
arm: tond-gabgabin 
arm: tond-pelebele 
arm: tunda 
arrow: tormor 
arrow: toromor 
ashes: parg 
ashes: par-glag 
ashes: pogalaç 
ashes: pogalak 
back: temgwad 
back: tem-gwad 
bad: ialau 
bad: yela(-mungo) 
bad: yelamuŋo 
bark: taŋal 
belly: bengabu 
belly: beŋabu 
belly: bengeb 
belly: beŋeb 
belly: bungup 
belly: čeu 
belly: tseu 
big: dimbal 
big: dimba(-l) 
big: tseu 
big: w- 
big: waisiwe 
big: wo- 
big: wu- 
big: wu-dimbwa-pibwi 
bird: aminya 
bird: amuɲi 
bird: amunye 
bird: amunyi 
bird: armye 
bite: nanambwet 
bite: na nambwet 
bite: taral 
bite: togorar 
bitter: tabud 
black: kwebyegu 
black: qebed 
black: qebid 
black: qebyegu 
blood: gual 
blood: gwal 
bone: kuadila 
bone: kwod 
bone: qod 
bone: targbel 
boy: pier 
boy: pi(r)-toje 
boy: pirtoǯe 
branch: kabwea 
breast: kabo 
breast: kabokwod 
breast: kaboqod 
breast: kabo-qod 
breast: kap-kuad 
breast: nond 
breast: qajö 
breathe: amage 
brother: muidadum 
brother: mvidadun 
brother: yan 
brother: yanungal 
brother: yanuŋal 
burn: naned 
butterfly: banguram 
butterfly: banuram 
butterfly: sikulekile 
butterfly: sikulekule 
calf: borgob 
cassowary: narjam 
chest: kabo qod 
chest: kwaje 
chest: kwaǯe 
child: burage 
child: firtoje 
child: firtoǯe 
child: meregh 
child: mormoris 
child: piatoje 
child: piatoǯe 
child: pier 
child: pyer 
child: warinjadara 
chin: pe:d 
chin: peːd 
claw: aro pur 
claw: ganga 
claw: gaŋa 
cloud: dabar 
cloud: kwad(or) 
cloud: qad 
cloud: qador 
cold: earlom 
cold: yorolo 
come: kanam 
come: konam 
come: kumaram 
crocodile: gardsar 
crocodile: kaja 
crocodile: kaǯa 
cut: toloba 
dance: kebuwele 
dark: qibid 
dark: yerimb 
daughter: mereɣ 
daughter: meregh 
daughter: mirmeraij 
daughter: mirmeraiǯ 
day: abuyad 
day: abwiado togon 
day: kançer 
day: pendotol 
day: yajerb 
day: yaǯerb 
die: kor 
die: kuldo 
dig: gobuarubod 
dig: terdal 
dig: tiadod 
dirty: waguma 
dog: a\ad 
dog: a:d 
dog: ard 
dog: ardo 
drink: tened 
drink: teneːd 
drink: toned 
ear: tangald 
ear: taŋald 
earth: dimol-gobo 
earth: gob 
earth: gobb 
earth: waguma 
earth: waubarod 
earth: yeu 
ear: tongal 
ear: toŋat 
ear: tungale 
eat: ianed 
eat: narar 
eat: taned 
eat: toned 
egg: bue 
egg: bwe 
egg: bwey 
elbow: tondityumb 
elbow: tond-ityumb 
elbow: tondsumb 
elbow: tunshumba 
emu: narǯam 
eye: taramb 
eye: tarambo 
eye: tarambo čeb 
eye: tarambo nžurinǯuːr 
face: cab 
face: sa-ab 
face: swab 
face: tehab 
fall: terogaso 
far: ugama 
father: ab 
father: hab 
fat (n.): kaab 
fat (n.): ka\ab 
fear: bereber 
fear: perebur 
feather: amiseb 
feather: ami-seb 
feather: cebi 
feather: čebi 
feather: sebi 
fight: agod 
finger: dingalimi 
finger: kepurbur tsor 
fingernail: tond-gang 
fingernail: tond-gaŋ 
finger: purbur 
finger: tondapor 
finger: tonda-por 
finger: tondo pur 
finger: tondo-pur 
finger: yadmeni 
fire: panda 
fire: pend 
fire: penda 
fire: pend(i) 
fish: agwur 
fish: agwur-naŋwar 
fish: angur 
fish: aŋur 
fish: ungua 
five: ambotond 
five: ambo-tond 
five: tumbitumbi-yambia 
flower: deram 
flower: diram 
flower: dram 
fly (n.): berang 
fly (n.): beraŋ 
fly (n.): berung 
fly (n.): bweranga 
fly (n.): ?bwereŋa 
fly (v.): ?bwereŋa 
fly (v.): nabind 
fog: aag 
fog: a\ag 
foot: kabukab 
foot: kabu-kab 
foot: kabu-kam 
foot: kapa-kub 
foot: keb-kabukab 
foot: kep-(kapu-kapu) 
