arm: seg 
ashes: bugul 
bark: pok 
bird: wining 
bird: winiŋ 
black: miding 
black: midiŋ 
blood: ining 
blood: iniŋ 
bone: yog 
come: ya-lom 
dog: kam 
earth: sokwe 
earth: suk 
eat: di-l- 
eat: dilom 
egg: doug 
eye: hing 
eye: hiŋ 
fingernail: gham aluk 
fire: uk 
give: elegalom 
good: perop 
good: pherop 
hair: hong 
hair: hoŋ 
head: huk 
I: na 
leg: yan 
louse: amnya 
man: nim 
name: si 
night: inimik 
one: nhon 
road: pik 
see: giblom 
see: gi-b-lom 
sit: buglom 
sit: bug-lom 
skin: phok 
skin: pok 
sleep: hung ma-b-lom 
sleep: huŋ mablom 
small: mik 
stone: kirik 
sun: hing 
sun: hiŋ 
tail: amo 
thou: an 
tomorrow: ampúm 
tooth: si 
tree: kal 
tree: khai 
two: pein 
two: phein 
water: mek 
we: nun 
what: hyka 
yesterday: ampúm 
