arm: lesu 
belly: wau 
bird: fenre 
black: kur 
blood: kefu 
bone: yefa 
breast: muku 
child: yen 
come: ya 
dog: wala 
ear: namra 
earth: sul 
eat: a- 
egg: lakwo 
egg: la-kwo 
eye: lakwo 
father: afa 
fire: kiri 
give: nuwa 
good: kufe 
head: terfa 
he/she: gi-ra 
he/she: rura 
he/she: ru-ra 
he/she: su-ra 
I: onta 
I: o-n-ta 
leg: seuwa 
leg: suwa 
louse: nunum 
man: ta-ma 
moon: nekwa 
mother: nawa 
nose: wilingki 
rain: loko 
red: kasa 
see: ni 
skin: liki 
small: nubul 
smoke: sufun 
star: ware 
stone: arkwo 
sun: nampul 
they: mura 
they: mu-ra 
they: o-m-ra 
they two: fu-ra 
they two: gif-ra 
they two: o-f-ra 
thou: kumra 
thou: nura 
thou: nu-ra 
tongue: tawul 
tooth: mpi 
tooth: ʔpi 
tree: mo: 
tree: moː 
two: lisifu 
walk: i 
water: okwu 
we: nomra 
we: nom-ra 
we two: non-ra 
white: ngkamu 
white: ŋkamu 
wind: kifal 
woman: tawa 
you: kum-ra 
you two: fun-ra 
