all: amín | amin	amín 
and: tan | insan	tan 
animal: áyep | ayep 
ashes: dápol | dapol	dapul 
at: ed | dia	ed 
back: benég | beneg 
bad: maogés | aliwa	maoges	mauges 
bark: obák | obak 
because: ta | kasi	lapu ed	ta 
belly: egés | eges 
big: báleg | baleg	báleg 
bird: manók | ayep	manok	taras 
bite: ketkét | ketket	quetquet	quetqueten 
black: andekét | andeket	deket 
blood: dalá | dala 
blow: sibók | sibok	sibukan 
bone: pokél | pokel 
breast: pagew | pagew	suso 
breathe: añgés | anges	dongap	engas	ingas	linawa 
breathe: linawá | anges	dongap	engas	ingas	linawa 
burn: poól | puolan | pool	silab	sinit 
child: anák | anak	ogaw 
child: ogáw | anak	ogaw 
cloud: lorém | lorem	lurem 
cold: ambetél | ambetel	betel 
come: la | gala	laka	onna	sabi	unla 
correct: sústo | duga	maong	tua 
count: biláñg | bilang 
cut: potót | batang	manbisil	putot	tegteg 
day: ágew | agew 
die: patéy (on- ) | inatey	onpatey	patey	unpatey 
dig: kótkot | kotkot	kutkot	mankutkot 
dirty: maríñgot | dingot	dutak	maringot	marutak 
dirty: maruták | dingot	dutak	maringot	marutak 
dog: asó | aso 
drink: inóm | inom	uninom 
dry: amagá | amaga	maga 
dull: epél | ambelat	belat | epel	mangmang 
dust: dabók | dabok	dutak 
dust: sapók | dabok	dutak 
ear: layág | layag 
earth: dálin | dalin 
eat: kan | akan	kamot	mangan 
egg: iknól | iknol	itnol 
eye: matá | mata 
fall: paktak | napattak	napelag	pattak	pelag	tumba 
fall: pelág | napattak	napelag	pattak	pelag	tumba 
far: arawí | arawi	biek taew 
father: amá | ama 
fat (n.): matabá 
fear: takót | antakot	takot 
feather: bagó | bago 
few: daisét | daiset 
fight: lában | bakal	kolkol	laban 
fingernail: kukó, kuku | kuko 
fire: apóy | apoy	dalang	po-ol	po7ol	pool 
fish: sirá | sira 
five: limá | lima	limara	limaʼra	limá 
float: létaw | letaw 
flow: ágos | agos 
flower: bolaklák | bulaklak	rosas 
flower: rósas | bulaklak	rosas 
fly (v.): tekiáb 
fog: kélpa | kelpa	malinaew	mankekelpa 
foot: salí | sali 
forest: takel; kakieoan | cakyewan	kakiewan	katakelan 
four: apát | apat	apatira	apát 
freeze: ketél | kigtel 
fruit: boñgá | bunga	prutas 
fruit: prutas | bunga	prutas 
full: napno | naksel	napno 
give: íter | itdan	iter 
good: maábig | abig	duga	maong 
good: maóñg | abig	duga	maong 
grass: diká | dika 
green: bérde | ampasiseng	maeta	verde 
green: bírdi | ampasiseng	maeta	verde 
guts: paít | bituka	pait 
hair: buék | buek 
hand: limá | lima | gamet	lima 
head: oló | ulo 
hear: deñgél | deNuel	dengel	denguel	denguelen 
heart: púso | puso 
heavy: ambelát | ambelat	belat 
he: Ø | si	sikato	to 
here: diá | dia 
he: sikató | si	sikato	to 
hit: kená | nakna	pekpek	tira	tiraen 
hold: bénben | benben	imben	imbenan 
hold: pekét | benben	imben	imbenan 
horn: saklur; saklór | saklor 
how: panon | pano	panon	panon to 
how?: pánon | pano	panon	panon to 
hunt: anóp | anop	managnop	manpaltog	manpana 
husband: asawá | asawa	kaamong	masiken	masiquen 
I: ak | ak	siak	siák 
