ankle: parkar 
arm: patur 
arm: paturr 
arrow: dugi 
ashes: pirag 
back: termen 
bad: kaiopeapea 
bad: karopeapa 
belly: nur 
belly: wurther fambu 
belly: wut̪er fambu 
bird: iamund 
bite: qearporond 
bitter: winuwinu 
bitter: winu-winu 
black: kofise 
blood: foroka 
blood: forroka 
bone: kam 
bone: kame 
boy: kapar 
branch: wemani 
breast: turan 
breast: turran 
brother: nane 
brother: naŋurt̪ 
brother: nangurth 
calf: takaratakara 
calf: takara-takara 
cassowary: yem 
chest: turrun 
chest: turun 
child: kapar 
child: nengever 
child: neŋever 
child: yurmad 
chin: kana-kana 
cloud: dapar 
come: awe 
cut: setiba 
dance: u 
dark: geloman (?) 
day: čeče 
day: ?eapurt̪a 
day: eapurtha (?) 
day: ngapariwari 
die: qosi 
dig: čet̪arub 
dig: chetharib 
dog: ɲat̪ur 
dog: gnathur 
drink: kiatanob 
dry: touwaput̪ 
dry: touwaputh 
ear: tarop 
earth: tirren 
eat: seawomb 
egg: yawi 
elbow: darmqas 
emu: yem 
excrement: wethur 
eye: si 
face: mit̪a 
face: mitha 
fall: teata 
far: tarnamkar 
father: gnawe 
father: ŋawe 
fat (n.): ?wiri 
fat (n.): wirri (?) 
feather: yirmand 
finger: darngorambur 
finger: iabarndom 
finger: iumbar-ntom 
finger: kam 
finger: serrunge-nton 
finger: surthenge 
finger: thurndentom 
finger: thurnde-thom 
finger: yumbarandum 
fire: meni 
fish: kowea 
five: neambi 
fly (n.): gumbam 
fly (v.): tet̪evear 
fly (v.): tethevear 
foot: baiakir 
foot: tarwar 
foot: warthurtak 
foot: wurt̪urtok 
forehead: mithur 
forehead: mit̪ur 
fruit: vermeni yauwi 
full: tearatope 
girl: yurma\a 
girl: yurmad 
good: namaya 
grass: yuse 
hair: yambar-iawi 
hair: yembariawi 
hand: ganga-kubikubi 
hand: tambara-pavo-pavo 
head: di 
head: yambai 
hear: iaritase 
heart: fofosa 
heavy: serin 
heel: baiakir 
he/she: sier 
he/she: ?sier 
hit: yambar 
hold: senewakur 
house: mernse 
hunt: piapur 
I: donem 
I: tea 
jaw: kanakan 
jaw: turunonga 
kill: seqer 
knee: qaraqara-kuriawi 
knee: qarra-qarra-kuriawi 
know: dungi 
know: ?duŋi 
laugh: burose 
leaf: wemenetank 
leaf: wemene-tank 
left: nembawegi 
leg: paraka 
lie: yar 
lightning: korivat 
lip: terumberengi 
lip: terumbereŋi 
live: keamat 
liver: narntun 
live: temenab 
louse: yarm 
man: karmbe 
many: tufer 
meat: fepe 
moon: tayi 
mother: ngarmwe 
mother: ŋarmwe 
mountain: rokuroku 
mountain: roku-roku 
mouth: farkaiyefer 
name: yerper 
navel: tanderu 
neck: qarn 
night: gigi 
night: tambarthur 
night: tumbart̪ur 
nose: tarutarup 
nose: tauma 
not: kaio 
one: neambi 
one: tabakar 
play: borosev 
pull: kekar 
rain: no 
right: taue 
ripe: taio 
river: tutuver 
road: mut̪er 
road: muther 
rope: waise 
rope: wiase 
sand: bondabonda 
sand: bonda-bonda 
sea: meani 
see: seamar 
sing: warg 
sister: ?duyumurt̪ 
sister: duyumurth (?) 
sit: keames 
skin: woko 
sleep: kameder 
small: katanakatan 
smell: fewa 
smell: hwerewa 
smell: wherewa 
snake: kambot̪a 
snake: kambotha 
spit: taroporopor 
stand: sekuk 
stone: verma 
sun: erputhur 
sun: erput̪ur 
swim: perchu 
swim: perču 
tail: keer 
tail: ke\er 
take: sewaku 
thigh: pot̪ambara 
thigh: pothambara 
thin: katankatan 
thin: katan-katan 
thou: fur 
throat: qarn 
tie: serembus 
tomorrow: weakase 
tongue: wet̪erčer 
tongue: wethercher 
tooth: tur 
tooth: turr 
tree: wermerni 
two: yendar 
two: yeudar 
vomit: wermberg 
walk: makateva 
walk: murthur 
walk: murt̪ur 
walk: yarkur 
wallaby: tauwori 
wash: čeviv 
wash: cheviv 
wash: pokau 
water: noor 
water: no\or 
weep: yarwar 
wet: tirer 
white: tauwarud 
wife: ɲari 
wife: gnari 
wind: meni 
woman: ngari 
woman: ŋari 
