arm: mpen 
bad: faisa 
belly: pënanuwi 
belly: pənanuwi 
bird: pëlisia 
bird: pəlisia 
black: ko:liyo 
black: koːliyo 
blood: soro 
bone: komoyo 
breast: momo 
child: kantana 
come: i 
dog: pa:n 
dog: paːn 
ear: aarpan 
ear: arpan 
earth: pe:ki 
earth: peːki 
egg: tënna 
egg: tənna 
eye: nëngka 
eye: nəŋka 
father: aya 
fire: nep 
give: a 
good: ke:fo 
good: keːfo 
head: sëkon 
head: səkon 
he/she: w- 
he/she: wa 
I: ka 
I: kw- 
leg: saten 
louse: tëmpofënë 
louse: təmpofənə 
man: mangko 
man: maŋko 
moon: yanmon 
moon: yinmon 
mother: ama 
nose: sünü 
rain: kun 
red: pu:no 
red: puːno 
see: ëntei 
see: əntei 
skin: na:ni 
skin: naːni 
smoke: numpolo 
star: ngkamsuwap 
star: ŋkamsuwap 
stone: to:mu 
stone: toːmu 
sun: ko:fëni 
sun: koːfəni 
they: nei 
they: p- 
thou: ay 
thou: f- 
thou: pei 
thou: y- 
tongue: ngkoten 
tongue: ŋkoten 
tooth: ne:n 
tooth: neːn 
tree: sëno 
tree: səno 
two: pëna 
two: pəna 
walk: ei 
water: mi: 
water: miː 
we: m- 
we: mei 
we two (incl.): f- 
white: tatu:po 
white: tatuːpo 
wind: tafësi 
wind: tafəsi 
woman: pëneno 
woman: pəneno 
you: pei 
