arm: meu 
bad: fayo 
belly: pënaluwa 
belly: pənaluwa 
bird: pësiapa 
bird: pəsiapa 
black: ko:liyo 
black: koːliyo 
blood: soli 
bone: kamóya 
bone: kamóya 
breast: mommo 
child: awute 
come: i 
dog: pa:lë 
dog: paːlə 
ear: tëpëli 
ear: təpəli 
earth: pe:ki 
earth: peːki 
egg: a:mo 
egg: aːmo 
eye: namëna 
eye: naməna 
father: aya 
fire: sakul 
give: a 
good: upo 
head: sela 
he/she: w- 
he/she: wo 
I: k- 
I: ki 
leg: teu 
louse: tëmofël 
louse: təmofəl 
man: oma 
moon: funmo 
mother: ama 
nose: sülü 
rain: wu 
red: pu:no 
red: puːno 
see: ityal 
skin: tapio 
smoke: nompëlo 
smoke: nompəlo 
star: kulokula 
stone: tumala 
sun: kepli 
they: no 
they: p- 
thou: p- 
thou: po 
thou: y- 
thou: yo 
tongue: ngkotelë 
tongue: ŋkotelə 
tooth: nelë 
tooth: nelə 
tree: si 
two: pëla 
two: pəla 
walk: ei 
water: mi 
we: m- 
we: mo 
we two (incl.): f- 
white: tatupo 
wind: tatfëla 
wind: tatfəla 
woman: pin 
you: po 
