animal: binantɑ 
arm: ng-an-tan 
arm: ntani 
ashes: bïntu 
ashes: bɨntu 
back: nga-kumáya 
back: ŋɑkumɑyɑ 
belly: ŋatiyɑ 
belly: nga-tiya 
big: waŋsɑ 
big: wangsa 
bird: adamasɑ 
bird: adamása 
black: akannɑ 
black: akánna 
blood: ngã-weya 
blood: ŋɑ͂weyɑ 
bone: nga-saya 
bone: ŋɑsɑyɑ 
breast: ng-niyaméya 
breast: ŋniyɑmeyɑ 
cheek: ngwapáka 
cheek: ŋwɑpakɑ 
chest: ŋkwitaku 
chest: ng-kwitáku 
child: ndɔyɑ 
child: ndoya 
chin: ng-wakwáya 
chin: ŋwɑkwɑyɑ 
claw: kasi 
cloud: sakapulɑ 
cloud: sakapúla 
cold: wyikɑ 
cold: wyika 
come: me\ 
come: mɛʔ 
come: su 
die: yamu 
die: yɑmu 
dog: katuwália 
dog: kɑyuwallɑ 
drink: nge 
drink: ŋɛ 
dry: aukwa 
dry: aykwa 
ear: ŋwalaha 
ear: ng-waláha 
earth: ataku 
earth: atakú 
eat: mpamɑ 
eat: mpama 
egg: walɑ 
egg: wala 
eye: ngikwáya 
eye: ŋikwɑyɑ 
father: ng-apa 
father: nga-paya 
father: ŋapɑyɑ ~ ŋɑpɑ 
fat (n.): yinɑ 
fat (n.): yina 
fingernail: kurussu 
fingernail: kurússu 
fire: ada(yɑ) 
fire: ada(ya) 
fish: apʔi(yɑ) 
fish: ap\í(ya) 
five: yawatínna 
five: yɑwɑtɪnnɑ 
fly (n.): ilíiwa 
fly (n.): ililwa 
fly (v.): irinɑ 
fly (v.): iriná 
foot: ng-ekasi 
foot: ŋɛkuli 
forehead: nga-mu-keya 
forehead: ŋɑmukeyɑ 
four: arasíku 
four: tu ~ tukanɑ 
fruit: kwɑ 
fruit: kwa 
give: miwɛgɑni 
give: nga-mi-wegaáni 
good: kannɑ 
good: kanna 
hair: ntaklaka 
hair: tak-laka 
hand: ŋantan 
hand: n-tani 
head: n-ta-kéya 
head: ntɑkeyɑ 
he/she: g 
hit: baba 
hit: bɑbɑ 
house: suːbɑ 
house: suuba 
I: ŋɑ- 
I: ngya- 
I: n ≈ ng 
I: üwing 
knee: ŋseyaku 
knee: ng-seyáku 
leaf: lakkɑ 
leaf: lakka 
leg: ŋɛkasi 
leg: ng-ekuli 
lip: mpilakɑ 
lip: m-piláka 
long: limpɑ 
long: limpa 
louse: inuwanɑ 
louse: inuwána 
man: imála 
man: imɑlɑ 
meat: peyɑ 
meat: peya 
moon: pilawákka 
moon: pilɑwakkɑ 
mother: nga-ya 
mother: ŋayɑ(yɑ) 
mountain: atak-ulímpa 
mountain: ɑtakulimpɑ 
mouth: n-dzhagi 
mouth: n-dzhagu-muramíya 
mouth: nǯagɪ 
name: n-deni 
name: ndɛni 
navel: ngu-kapíya 
navel: ŋukɑpiyɑ 
neck: ŋwaŋseyɑ 
neck: ng-wangséya 
new: tupwáya 
new: tupwɑyɑ 
night: itinan 
night: itinán 
nose: mpindattɑ 
nose: mpin-dátta 
nose: m-pini 
one: sɔnnɑ 
one: sonna 
rain: ayá(ya) 
rain: ayɑ(yɑ) 
red: yikkɑ 
red: yikka 
road: igayaʔ 
road: igáya\ 
root: s(ə)pin(ɑ) 
root: s(ë)pín(a) 
sand: iniki 
sand: iníki 
see: di(yɑ) 
see: di(ya) 
shoulder: ng-angkatáku 
shoulder: ŋaŋkɑtaku 
sit: wuti 
skin: ŋagakɑ 
skin: nga-gaka 
sleep: te 
sleep: tɛ 
small: marnɑ 
small: marna 
smoke: kulakku 
smoke: kulákku 
smoke: pinakkɑ 
smoke: pinákka 
snake: sapala 
snake: sapɑlɑ 
stand: dukɑ 
stand: duka 
star: pësëláwa(y) 
star: pəsəlɑwɑ(y) 
stone: wapákka 
stone: wɑpakkɑ 
sun: wadiyɑ 
sun: wadi-ya 
they: g 
thou: y (?) 
three: ɑrɑsiku 
three: tu(kana) 
tongue: ngan-lipu 
tongue: ŋanlipu 
tooth: ŋwageyɑ 
tooth: ng-wagéya 
tree: asakkɑ 
tree: asákka 
two: yakku 
walk: wɛtunaʔ 
walk: wetúna\ 
warm: ɟimɑ 
warm: jima 
water: idzha 
water: idzháya 
water: iǯɑyɑ ~ iǯa 
weep: ŋiyɑ 
weep: ngiya 
we (incl.): p 
we: n 
white: lakúy(a) 
white: lɑkuy(ɑ) 
wind: lapún(a) 
wind: lɑpun(ɑ) 
woman: iyála 
woman: iyɑlɑ 
wood: ada(yɑ) 
wood: asakkɑ 
you: y 
