all: odumu 
ashes: kakawo 
back: dudunu 
bad: dorou 
belly: pokoro 
big: amoko 
big: saki 
bird: namoro 
bitter: mali 
black: taromo 
blow: uwaka 
bone: kobongo 
boy: duguuru 
boy: dugu\uru 
breast: ngawoko 
brother: iranga 
burn: oko 
calf: pupuongo 
cheek: gotoaka 
child: ngoaka 
child: ŋoaka 
chin: okoko 
cold: maata 
come: boa 
crocodile: go-somanga 
crocodile: gosomaŋa 
cut: luiti 
cut: oto 
cut: sakara 
dance: salai 
dark: tarusu 
die: songene 
die: soŋene 
dig: paiti 
dirty: pe\e 
dog: kaso 
ear: ngauku 
ear: ŋauku 
earth: pepeke 
earth: tonaka 
eat: odomo 
egg: gosi 
eye: aako 
far: kurutu 
fat (n.): gooro 
feather: gogo 
fingernail: gitiwiri 
finger: raraga 
fire: uku 
fish: naoko 
five: motoa 
fly (n.): guuuru 
fly (v.): soso 
foot: dou 
forehead: menga 
four: iata 
four: soata 
fruit: sowoko 
girl: ǯoǯaru 
give: kula 
give: tarisi 
good: owa 
hair: utu 
head: saeke 
heart: singina 
he/she: (a)wi/(a)mi/ma 
he/she: muna 
he/she: una 
hold: tjobo 
hole: aruke 
house: woa 
house: wou 
husband: wekata 
I: (a)i 
I: ngoi 
knee: bubuku 
know: nako 
lake: lepa 
lake: ngooto 
laugh: iete 
leaf: soka 
left: gubali 
live: oo 
long: kakuru 
louse: tuudutu 
man: nauru 
many: gudai 
meat: akeme 
moon: mede 
mother: esa 
mountain: gigie 
mouth: uru 
name: ronga 
name: roŋa 
navel: potiti 
near: sebanga 
new: muane 
night: obiri 
night: putu 
nose: ngununu 
one: moi 
person: nyawa 
pull: poleuru 
rat: ligi 
red: tereboko 
right: ginira 
ripe: omuku 
ripe: osaka 
river: baosa 
river: ngairi 
road: ngekomo 
root: ngutuku 
say: temo 
say: tesongo 
see: lega 
short: tipoko 
shoulder: beleka 
sister: iranga 
sit: gogere 
skin: kai 
sky: diwango 
sleep: iwiti 
sleep: nisuku 
smell: ame 
smoke: dowo 
star: ngoma 
star: ŋoma 
stick: tadi 
stone: teto 
sweet: mutiti 
swim: tobongo 
tail: bikini 
take: tosiki 
they: manga 
they: ona 
thigh: uguru 
thin: umemere 
thorn: belele\e 
thorn: hihi\a 
thou: (a)ni 
thou: ngona 
three: saange 
three: sa\aŋe 
tie: pusuku 
tongue: asi-asiri 
tooth: ingiri 
two: modidi 
vagina: teleme 
vomit: ŋunana 
walk: tagi 
wash: gowo 
wash: osiki 
water: akere 
we: (a)mia 
weep: ari 
weep: koŋoro 
we (incl.): ngone 
we: nanga 
we: ngomi 
wet: pesaka 
what: okia 
where: kiaka 
white: arese 
wife: wekata 
wind: rato 
wing: gatuuku 
woman: ngeweka 
woman: ŋeweka 
wood: gota 
you: (a)nia 
you: ngini 
