big: kupa- 
blood: yay 
bone: tanïm 
breast: ɲɟay 
breast: njay 
cold: sarïk 
crocodile: manbo 
ear: kwandukas 
eat: am- 
egg: yaw-ng 
egg: yawŋ 
excrement: mïndi 
eye: sambïs 
father: anay 
fire: awi 
hair: wambi 
hear: andu- 
hit: kurar- 
I: ama 
lake: upunɨŋg 
leaf: yimbrïm 
leg: pamung 
louse: yam 
man: panmari 
moon: tunggwi 
mosquito: yanggun 
mosquito: yaŋgun 
mother: asay 
nose: ipun 
one: mba 
one: mba- 
person: yarmasïnar 
snake: wakïn 
star: sunggwincïrïm 
sun: sïmari 
three: rianmaw 
three: -rianmaw 
tomorrow: arïng 
tongue: mumïnyïng 
tongue: mumɨŋiŋ 
tooth: sïsïng 
tooth: sɨsɨŋ 
tree: yuwan 
two: -ripay 
walk: kurayk- 
walk: kuria- 
wash: suku- 
water: arïm 
water: arɨm 
we: a-pia 
we two: k-a-pa 
yesterday: arïng 
yesterday: arɨŋ 
you: i-pa 
you two: ku-pa 
