ankle: tulk cət 
back: pepeɹe 
bad: calkma 
belly: tawaɹa 
belly: tawara 
big: pamalaŋ 
bite: kaɹat 
bite: ṭalpa 
black: kalalk 
black: kalkalk 
blood: kaweɲ 
blood: keweɲ 
bone: puwik 
breast: wiŋ 
cheek: caŋkuɹ 
cheek: ŋel 
child: pampac 
cloud: kuk 
cloud: wuk 
crocodile: wileɹ 
cut: piɹ 
cut: piɹaŋ 
dog: muyiɲ 
dust: pənaŋ 
dust: wunkal 
ear: pipeɹe 
earth: wut 
eat: yaci 
eat: yeci 
egg: məṭa 
elbow: cin 
emu: ŋəɹən 
emu: ŋuɹən 
eye: mipe 
father: papa 
father: papalak 
fat (n.): wətawel 
fat (n.): wutawal 
feather: ŋukat 
fire: win 
five: paɹaŋanɟiɟ 
flower: maɹka 
foot: cət 
forehead: mitaŋ 
forehead: mittaŋ 
four: paɹkatamalaŋ paɹkatamalaŋ 
full: pepəca 
full: pepəce 
give: cawaɹa 
give: -φime- 
good: caɹaku 
grass: wəɹak 
hair: maɹapəce 
hand: ŋale 
hand: ŋele 
head: pəce 
heart: cunmanac 
heart: peɲmen 
heavy: ŋulma 
he/she: ɟamuyiɟ 
he/she: ɟanmuyiɟ 
he/she: camuyic 
hole: yuɹa 
house: ŋatta 
I: ŋaca 
I: ŋece 
I: ŋeɟe 
kangaroo: kanka 
knee: miɹaŋuk 
laugh: kanak 
leaf: kalkal 
leg: kaɹel 
leg: keɹel 
liver: mepeɹe 
long: walaɲ 
man: ŋanaŋ 
meat: mecem 
moon: kaɹe 
moon: keɹe 
mosquito: wəɹaŋ 
mother: kalaŋ 
mother: kaḷaŋ 
mouth: ŋak 
name: nic 
name: nit 
navel: cəɹac 
navel: cuɹac 
neck: mecak 
new: paɹaŋaɹaŋ 
new: peɹeŋeɹeŋ 
night: ŋik 
night: ŋuɹaca 
not: kamaŋka 
not: nakulə 
old: muntak 
old: ŋapali 
old: yikuɹma 
one: ŋancic 
rain: wəŋ 
red: kukaɹa 
red: wuɹiwuɹi 
ripe: paɹamuŋ 
river: paɹa 
river: wik paɹa 
road: kal 
road: kel 
rope: niɹ 
rope: pik 
rotten: panpuɹuk 
rotten: paɲpuɹuk 
sand: wut 
sea: ŋalkin 
sharp: paɹka 
shoulder: celme 
skin: ŋanaŋmeca 
skin: yeɹeɲ 
small: pəɹak 
small: pəcalak 
smoke: winkel 
smoke: wunkal 
snake: calwe 
snake: kulkamalaŋ 
spit: mankaɹa 
spit: ŋalaŋalaŋ 
spit: wutak 
stand: yaɹuŋ 
star: məṭa 
star: məṭe 
stone: maŋ 
straight: yaɹuŋ 
sun: kayik 
tail: kalpe 
take: yeɲeɹe 
they: paɹmuyiɟ 
they two: paɹmuyiɟkaɲi 
thigh: pelem 
thou: kane 
thou: kene 
thou: nawaɹa 
three: paɹkataŋanɟiɟ 
today: yaŋaɹaŋ 
tomorrow: yiɲmek 
tongue: ŋatal 
tongue: ŋataḷ 
tooth: tiɹa 
tooth: tiɹe 
tree: win 
tree: wiṇ 
two: paɹkatamalaŋ 
vagina: kita 
vomit: nakaʎi 
vomit: nakali 
walk: cena 
wallaby: muc 
wash: puka 
water: wik 
we (excl.): ŋaɹe 
we (excl.): ŋeɹe 
we (incl.): ŋaɹaɹa 
we (incl.): ŋaɹaɹe 
we (incl.): ŋeɹeɹe 
we two (excl.): ŋaɹakaɲi 
we two (incl.): ŋaŋka 
what: ɲinic 
what: yinic 
when: enikine 
when: kinenuŋ 
where: ɟina 
white: paypay 
white: paypaymalaŋ 
who: naka 
wind: maɹawuk 
woman: ŋawalaŋ 
woman: ŋawulaŋ 
woomera: kalan 
year: wula 
year: wuḷa 
yesterday: məɹakaɹa 
you two: nawaɹakaɲi 
