all: amukmo 
arm: tanggo-top 
arm: wit 
arrow: gop 
ashes: kosep 
at: kup 
back: mi-mit 
bad: kuyom 
bark: kotae 
bark: kotai 
bark: kotay 
belly: oi 
belly: wadin 
belly: wa(n)din 
big: kamay 
big: kutugut 
bird: yet 
bite: atigo 
bite: atiko 
bite: atiko- 
black: kui 
blood: gom 
blood: (ng)gom 
blood: ŋgom 
bone: mit 
branch: kitup 
breast: om 
brother: biat 
brother: net 
burn: udo- 
burn: undo 
burn: u(n)do- 
butterfly: awomburui 
calf: wan bin 
cheek: koyop 
chest: mbemit 
child: mun 
chin: manggor-ip 
cold: saruy 
come: me- 
crocodile: ko-batim 
crocodile: mbanep 
cut: ri- 
dark: (n)de(m)beng 
daughter: matip 
day: waran 
die: kim- 
die: kimiran 
dig: so- 
dog: agay 
dog: aŋgae 
drink: mi- 
earth: itop 
ear: turu-top 
eat: en- 
eat: mi-akumo- 
egg: wagot 
elbow: win gabin 
excrement: oy 
eye: kerep-to(n)got 
eye: kerop 
eye: kerop-togot 
face: nggin-ò-kerok 
fall: ri- 
far: kamam 
father: nat 
fat (n.): tuguy 
fat (n.): tukuy 
feather: ron 
finger: agu 
fingernail: muk 
finger: sekek 
fire: enop-tenop 
fish: rakay 
flower: ket 
fly (n.): imonop 
fly (v.): ururuk ko- 
foot: kodok 
foot: konok 
foot: wan 
foot: wan ga-buy 
foot: wan-tat 
forehead: kombisop 
forest: yagok 
four: kurukut kup 
fruit: mok 
fruit: rop 
full: koya 
girl: magat 
give: yo- 
good: wagae 
guts: oy 
hair: (nggi-)ron 
hair: ŋgi-ron 
hair: ron 
hand: wit 
head: gin 
head: (ng)gin 
head: ŋgin 
head: (ng)gin-kawai 
hear: dat- 
hear: (n)dat- 
heart: dimdop 
heart: (n)dim(n)dop 
heavy: kagun 
heavy: kakun 
heel: wan-gabuy 
he/she: ya 
he/she: ye 
he/she: yup 
hit: edom 
hit: in 
hole: top 
house: bitip 
husband: kop-pari 
I: na 
I: nu 
I: nup 
kill: iro-uru 
knee: kerop 
knee: kondok-kerop 
know: nggoropmu 
laugh: aritow-in 
leaf: ron 
leg: kodok 
leg: kondok 
leg: mit 
lie: yan- 
lightning: warawae 
lip: (m)bam-(ng)gat 
live: ariok ba- 
live: ari-op ba- 
liver: ahum 
long: guru 
long: guru(p) 
long: ŋgurup 
louse: gut 
louse: imonop 
louse: ŋgut 
man: kagup 
man: ko-batim 
man: kop 
many: kutok 
meat: yom 
moon: wokoy 
morning: ariw amin 
mosquito: sowen 
mother: noy 
mountain: amgon 
mouth: bon-op 
mouth: magot 
mouth: magto 
mouth: maŋgot 
name: ip 
nape: awut-mit 
navel: oy gum 
near: sindik 
neck: (ng)go(m)ben 
new: ariok 
new: mamay 
night: mitik 
nose: ambotop 
old: bari 
old: kop-pari 
old: ra-(m)bari 
one: kenay 
one: omae 
one: omay 
person: kagup 
person: kakup 
rain: mirip 
rat: sogonap 
rat: sokonap 
rat: temon 
red: tenop 
ripe: amuy 
river: ok 
root: ndit 
rope: met 
rope: tik 
rotten: tereget 
sand: ok yaman 
sand: ok-yaman 
say: rogo 
say: roko- 
say: rug in- 
see: eto- 
short: get 
short: kutuk 
short: (ng)get 
shoulder: wit-mak 
sing: gom ri- 
sing: (ng)gom ri- 
sister: mbiat 
sister: nani 
sister: neni 
sit: ba- 
sit: (m)ba- 
sit: mba- 
skin: kotae 
skin: kotay 
sky: kumut 
sleep: kinum kok ke- 
sleep: kinum yan- 
small: beron 
smell: ip-mo- 
smoke: (enow-)uruk 
smoke: uruk 
snake: anggun 
snake: gweti 
son: maa(n)dup 
son: maːdup 
spit: ayak ti- 
spit: katet 
spit: katet ti-omo- 
stand: re- 
star: minduy 
stone: irop 
straight: yani 
suck: mi- 
sun: sat 
tail: oy-tet 
tail: wabit 
tail: wambit 
tail: wa(m)bit 
take: rap- 
take: rap (ko-) 
that: ewe 
they: yago 
they: yagup 
they: ya(ng)go 
they: ya(ng)gup 
thigh: kitup 
thin: asak 
think: opkon-ke 
this: mene 
thorn: arin 
thou: gago 
thou: gagup 
thou: go 
thou: gup 
thou: ŋgaŋgup 
thou: (ng)go 
thou: (ng)gup 
thou: ŋgup 
three: itipmo 
throat: ogaru-rop 
throw: somo 
thunder: kumut 
tie: adap- 
tie: andap 
tongue: anop 
tooth: inim 
tree: enop 
tree: en-op 
tree: korire 
two: irumo 
vagina: atop 
walk: ko- 
warm: mamin 
wash: agum-… 
wash: akum-bi-amo- 
wash: akum-biamo- 
wash: ok kim- 
water: ok 
weep: kerow-ok 
weep: rom- 
weep: romo 
we: nago 
we: nagup 
we: na(ng)go 
we: na(ng)gup 
we: naŋgup 
wet: nggaenak 
what: ugaeop 
who: agap 
wife: sarip 
wind: kiwuy 
wing: buruy 
wing: mburui 
with: kup 
woman: ran 
wood: enop 
wood: en-op 
yesterday: wamin 
you: (ng)ga(ng)gup 
you: (ng)ga(ng)o 
