all: nubunubu 
arm: wapi 
ashes: aho 
ashes: hisaine 
ashes: hisainɛ 
back: tora 
back: torsiru 
bad: wërigaw 
bad: wʌrigaw 
belly: hukuru 
belly: ouru 
belly: përi 
belly: pʌri 
big: arene 
big: arrene 
bird: yene 
bird: yɛnɛ 
bite: ho- 
black: umuit 
blood: petai 
blow: ororta- 
bone: ë:se 
bone: ʌːse 
boy: worëre 
boy: worʌrɛ 
breast: amne 
brother: ai- 
brother: nonu- 
burn: togo- 
butterfly: gaga huri 
calf: onoru 
cassowary: esire 
chest: konu 
child: wela 
child: wɛla 
chin: mokonu 
cloud: sobohi 
cold: tolola 
come: ka- 
crocodile: yamei 
cut: esta- 
cut: ɛsta- 
cut: hod- 
dance: mu keke- 
day: ës rëbu 
day: ʌs rʌbu 
die: eme- 
die: ɛmɛ- 
dig: nauno- 
dig: pedige- 
dig: pɛdigɛ- 
dog: ɛsʌ 
dog: esë:me 
dog: me 
dry: hegana 
dry: hɛgana 
ear: ahele 
ear: ahɛlɛ 
earth: eme 
earth: ɛmɛ 
eat: ne- 
eat: nɛ- 
eat: teindi- 
egg: obon 
egg: srene 
egg: srɛnɛ 
elbow: toko 
emu: ɛsirɛ 
excrement: sipi 
eye: ami 
face: adri 
fall: hod- 
fall: pelau- 
fall: pɛlau- 
far: sʌːrɛno 
father: pa- 
fat (n.): ai 
fat (n.): ɛtam- 
fear: eri- 
fear: ɛri- 
fight: weira- 
finger: ahene 
fingernail: tegre 
fire: hegeni 
fire: hɛgɛni 
fire: meane 
fish: aine 
fish: ainɛ 
fly (n.): hɛgʌbɛ 
fly (n.): hegëbe 
fly (v.): halt- 
fly (v.): hɛlt- 
fog: sësbohi 
fog: sʌsbohi 
forehead: adri 
forest: tahine 
fruit: ss.ren 
full: ond- 
girl: hena wahe 
girl: hɛna wahɛ 
give: si- 
give: te-/si-/tu- 
good: nogono 
good: sihi 
grass: aile 
guts: përi 
guts: pʌri 
hair: ru 
head: muru 
head: trubu 
hear: hare es- 
heavy: uhuru(se)- 
here: abu 
here: nopo(mo) 
he/she: eno 
he/she: ɛno 
he/she: ine 
he/she: -ine 
he/she: ni 
he/she: ni- 
he/she: -ø- 
he/she: -u- 
hit: weira- 
hold: eba- 
hold: ɛba- 
house: weiti 
how: enaw 
ice: §rɛn 
I: i 
I: -i(ma)mo 
I: -i(ma)mo- 
in: orupa 
I: -s- 
I: y- 
kill: sobo- 
knee: toko 
laugh: yage- 
laugh: yagɛ- 
left: etaisaw 
left: ɛtaisaw 
left: taisa 
leg: ehi 
lightning: sa kudain- 
long: orohoi 
louse: pëi 
louse: pʌi 
man: tamëite 
man: tamʌitɛ 
man: ton 
many: nu:bu 
many: nuːbu 
meat: onor- 
moon: ësi 
moon: ʌsi 
morning: § moto 
morning: sa ura 
morning: ss moto 
mosquito: kenëki 
mosquito: kenʌki 
mother: ëh 
mother: ʌh 
mountain: keti 
mouth: tama 
name: weini 
nape: tamau 
navel: su 
neck: pe 
new: ëmgo 
new: ʌmgo 
night: s mouru 
nose: upu 
not: yamo 
old: §rumahau 
old: ss.rumahau 
old: wëhi 
old: wʌhi 
one: atre 
one: nemru 
pull: aha- 
push: sutu- 
rat: sesi 
red: patayaw 
right: pagësa 
right: pagʌsa 
ripe: huhuaw 
road: sabugaut 
road: sabugut 
root: kinine 
root: kininɛ 
rope: kisi 
salt: §kai 
salt: ss.kai 
sand: wisikil: 
sand: wiskil 
say: sa(i)- 
say: sai hile- 
say: sai hilɛ- 
say: sai sa- 
say: sa(si)- 
