arm: yilo 
bad: awëni 
bad: awəni 
belly: ri 
bird: awra 
black: tëprai 
black: təprai 
blood: eipi 
bone: lakë 
bone: lakə 
breast: mëy 
breast: məy 
child: yan 
come: yi 
dog: nëpay 
dog: nəpay 
ear: maklaka 
earth: lutil 
egg: wa:të 
egg: waːtə 
eye: noulaka 
eye: nou-laka 
father: aya 
fire: tapo 
give: ku 
good: mëta 
good: məta 
head: moulaka 
head: mou-laka 
he/she: ram 
I: wan 
I: wa-n 
leg: lalë 
leg: lalə 
louse: nipia 
man: taŋkai 
man: yangkai 
moon: yalma 
mother: ami 
nose: wak-laka 
rain: yila 
red: eifi-nëni 
red: eifinəni 
see: pu 
skin: mouwil 
smoke: liyo 
star: weypra 
stone: tidl 
sun: may 
they: atëm 
they: atəm 
thou: yim 
thou: yin 
thou: yi-n 
tongue: lalëpi 
tongue: laləpi 
tooth: pilaka 
tooth: pi-laka 
tree: tau 
two: yikëramo 
two: yikəramo 
walk: ti 
walk: tu 
water: you 
we: nam 
we: na-m 
white: kawuwi 
wind: yik 
woman: telou 
you: yi-m 
