arm: mafane 
arrow: apate 
arrow: apoko 
ashes: yuhawa 
bark: pitini 
belly: teake 
belly: tea-ke 
belly: tia-fe 
bird: panamo 
black: hoake 
blood: ehe 
bone: emake 
breast: awo 
brother: -ota 
brother: -pota 
brother: -pota ; -ota 
burn: moay wi 
cold: ifako 
come: nao- 
dark: iwiti 
day: mare 
day: yoka 
dig: hi- 
dirty: pana-ko 
dog: iwiri 
ear: iane 
earth: se 
eat: ne- 
egg: ha 
egg: oka 
elbow: honane 
eye: manake 
father: -wito 
fear: honae 
feather: moto 
fingernail: fiti 
fire: yuha-make 
fire: yuha(-make) 
foot: mawi 
forest: piri 
forest: wahane 
forest: wa-hane 
fruit: eke 
full: tapeta 
give: teatam- 
give: teatamo- 
good: paːto 
guts: teake 
hair: fini 
head: ow-eke 
head: ow-ihi 
heart: hoke 
he/she: aro 
hit: tafo- 
hole: ipa 
hole: yafa 
husband: miwihi 
I: noro 
kill: hanao eme- 
kill: ta- 
knee: inipo 
laugh: ote oto- 
laugh: oto oto- 
leaf: ye 
leg: mawi 
lie: mehe- 
lightning: ma\aro 
lip: iwini 
lip: iwi-ni 
liver: wawa 
long: inawako 
long: irawo-ko 
louse: wamo 
man: ipita 
meat: naha 
meat: nes(a) 
meat: nese 
moon: pira 
morning: tameha 
mother: enay 
mother: wehe 
mouth: mea 
name: iwahe 
navel: mepere 
neck: homa 
neck: imahi 
new: ay 
new: ayha 
night: irama 
not: mona 
not: -mona 
old: taraiha 
one: tawahe 
other: weni 
person: owe 
pull: imi- 
rain: te 
red: hereto 
river: yo 
road: mawiyafa 
road: moto 
root: mimi 
rub: areme- 
sand: hini 
say: ak- 
sea: wao 
see: manake e- 
see: pora- 
sharp: feroko 
shoulder: hiari 
sister: ipita 
sit: ape- 
skin: pitini 
sleep: ehe wehe- 
sleep: isi 
smoke: amini 
spit: mehapi 
spit: mesip 
spit: oho 
split: apate 
split: tereme- 
star: ma\ake 
star: maweto 
stone: yaka 
straight: iwato 
sun: yowi 
tail: mepe 
take: ohomo- 
take: tewa- 
they: aro 
thigh: ae 
thigh: ahini 
think: mipo popom- 
this: ara 
thorn: fa 
thorn: iti 
thou: oro 
thou: taro 
throat: homa 
tie: eka- 
tie: mota- 
today: wawa 
tongue: omane 
tooth: hi 
tree: mopane 
tree: oho 
two: yamina 
vagina: pere 
vomit: mo- 
walk: yare- 
warm: amapoto 
water: mi 
we: naro 
wet: motoko 
white: hako 
wife: -amo 
wind: ifako 
wing: opo 
yesterday: toa 
yesterday: to´ë 
