all: ayuma 
ashes: agoma 
back: amnyatara 
back: balye 
bad: mali 
bark: bol 
because: ateb 
belly: mundo 
big: wik 
bird: ma 
bite: garubkameb 
black: merin 
blood: yabye 
bone: yo 
breast: taram 
burn: fabkameb 
child: mapwe 
child: me 
claw: kankanya 
claw: singananyo 
cloud: doba 
cold: baibungna 
cold: baibuŋna 
come: yak- 
come: yan- 
die: deib- 
die: deibu 
dog: kam 
dry: asim 
dry: dou 
ear: amol 
earth: deya 
earth: tokwe 
eat: ɟib- 
eat: jib- 
egg: do 
eye: asorue 
fat (n.): meta 
feather: potoŋ 
fire: úku 
fire: ukwe 
fly (v.): fol bir 
foot: yan 
full: laŋgebre 
full: langnebre 
give: kadeb- 
give: kareb- 
good: teleb 
green: imbik meka 
hair: potong 
hair: potoŋ 
hand: burutan 
hand: burye 
hand: burye burutan 
head: giso 
hear: geke- 
hear: gekeb- 
heart: talema 
heavy: egin 
here: atara 
here: a-(tara) 
he/she: er 
hit: pfob- 
hit: pob- 
I: nä 
I: ne 
kill: pob- 
kill: pobrum 
knee: gotam 
know: bik- 
know: walewal 
liver: yeko 
long: pera 
louse: amnye 
man: nimi 
meat: tub 
moon: ware 
mountain: dub 
mountain: motokwe 
mountain: mo-tokwe 
name: si 
navel: num 
new: okoripwe 
night: lukenyan 
night: lukunyan 
nose: u 
not: guma 
not: men 
one: tegen 
one: ton 
person: nimi 
rain: mo 
ripe: eng 
ripe: eŋ 
river: me 
road: bisi 
root: aten 
rope: tabkwe 
sand: me wininga 
sand: me winiŋa 
say: peb- 
say: pfe- 
see: diw- 
see: diweren 
seed: youkwa 
short: burum 
shoulder: takunuo 
shoulder: ta-kunyo 
sit: buk- 
skin: bol 
sky: im 
sleep: mab- 
small: metek 
small: meteka 
small: yambul 
smoke: tolum 
stand: tek- 
star: guri 
star: kurye 
stone: gil 
sun: getane 
tail: amngwe 
tail: amŋwe 
take: dob- 
there: i- 
there: or 
there: u- 
they: sun 
thou: kan 
thou: sun 
tomorrow: ambotum 
tomorrow: ambotúm 
tongue: lyemŋwe 
tongue: lywmngwe 
tooth: tsi 
tree: co 
tree: tso 
tree: yo 
two: bitini 
unripe: imbik meka 
walk: bin- 
warm: boupe 
water: me 
we: nun 
what: ware 
what: waredaro 
white: kororupne 
white: korun 
who: waring 
who: wariŋ 
woman: ner 
woman: nerape 
woman: ner-ape 
yesterday: ambotom 
yesterday: ambotúm 
