arm: kwutil 
bad: touni 
belly: tëfau 
belly: təfau 
bird: yafren 
black: kete 
blood: nawan 
bone: këmiene 
bone: kəmiene 
breast: nëmar 
breast: nəmar 
child: nëfkayë 
child: nəfkayə 
come: an 
dog: asi 
earth: takulu 
ear: yapot 
egg: yilip 
eye: kwutiyane 
father: aya 
fire: wëti 
fire: wəti 
give: ati 
good: mitne 
head: lülü 
head: lülü 
he/she: r- 
he/she: rën 
he/she: rən 
he/she: w- 
I: k- 
I: ki 
leg: kiriu 
louse: kwutël 
louse: kwutəl 
man: metfaine 
moon: noulai 
mother: nëmo 
mother: nəmo 
nose: minityu 
rain: yaf 
red: kutouken 
see: la 
skin: tërkwaf 
skin: tərkwaf 
smoke: tumut 
star: kwurilpët 
star: kwurilpət 
stone: kranë 
stone: kranə 
sun: kwapli 
they: l- 
they: rël 
they: rəl 
thou: f- 
thou: yi 
thou: yifi 
tooth: yanët 
tooth: yanət 
tree: nifif 
two: wiyum 
walk: ete 
water: tipal 
we: kufu 
we: ku-fu 
we: m- 
we two (incl.): kw- 
white: koplafane 
white: koplofane 
wind: kwupiyëf 
wind: kwupiyəf 
woman: kulum 
you: yi-fi 
