ashes: airi 
belly: ura 
big: dzaidimba 
big: (d)zaidimba 
bird: ndi 
breast: ami 
cloud: unditi 
dog: ina 
ear: donggara 
ear: doŋgara 
eye: diti 
fire: ia͂wa 
fire: iãwa 
foot: ße 
foot: ve 
hair: gibadzauru 
hair: giba(d)zauru 
hand: uma 
head: gibadza 
head: giba(d)za 
he/she: nu 
I: na 
knee: bagadzi 
knee: bagazi 
leaf: ing-gi 
leaf: iŋgi 
man: emba 
moon: ina 
mouth: be 
neck: tuma 
nose: mena 
rain: wa 
road: nai 
root: inh-tai 
root: i͂tai 
skin: arai 
sky: unditi 
small: ka 
smoke: imboi 
star: bogu 
star: gobu 
stone: gomba 
sun: i 
they: anggara 
they: aŋgara 
they two: nuete 
thou: ni 
thou: niti 
tongue: ißißi 
tongue: ivivi 
tooth: di 
tree: i͂ 
tree: inh 
water: ou 
we: nati 
we two (incl.): naete 
we two: naete 
woman: bana 
you: niti 
