arm: pa 
bad: wuwi 
belly: su:k 
belly: suːk 
bird: afër 
bird: afər 
black: na:li:k 
black: naːliːk 
blood: nëk 
blood: nək 
bone: nimik 
breast: mak 
child: kan 
come: ali 
dog: par 
ear: mëk 
ear: mək 
earth: tau 
egg: wi:lër 
egg: wiːlər 
eye: nap 
father: ya 
fire: walk 
give: wa 
good: yam 
head: ariyi 
he/she: an 
he/she: n- 
he/she: w- 
I: i 
leg: su: 
leg: suː 
louse: namkar 
louse: nam-kar 
man: mësin 
man: məsin 
moon: uni 
mother: mai 
nose: nupungk 
rain: ni: 
rain: niː 
red: nipin 
see: rë 
see: rə 
skin: pawar 
smoke: suwok 
star: nupër 
star: nupər 
stone: yir 
sun: wupli 
they: aral 
they: l- 
thou: a 
thou: ü 
thou: y- 
tongue: war 
tooth: nak 
tree: lo: 
tree: loː 
two: wiyem 
walk: anin 
water: ni: 
water: niː 
we: aw 
we: m- 
we two (incl.): w- 
white: nëngar 
white: nəŋar 
wind: ma 
woman: matei 
you: ü 
