all: tuturi 
and: -pe/-me 
and: ratabo 
arm: ane 
arm: aneme 
arm: ane-m(e) 
arrow: ato 
arrow: kato 
arrow: katu 
arrow: taupo 
ashes: kafum 
ashes: kapum 
ashes: kapume 
ashes: kaφum 
at: no 
bad: kakai 
bad: pari 
bark: no-kea 
belly: anobone 
belly: na-nebon 
big: akoi 
big: andowi 
big: manakoe 
big: manakoi 
big: mandayakoi 
big: (manday-)akoi 
bird: ami (?) 
bird: ani 
bird: insane 
bird: ins-ane 
bird: insani 
bird: ins-ani 
bird: intani 
bird: (int-)ani 
bird: int-ani 
bird: unsani 
bird: uns-ani 
bite: rakawi 
black: kangan 
black: karisa 
black: karisawan 
black: karisya 
blood: mabu 
blood: madi 
blood: maßu 
blood: mavu 
blood: namabu 
blood: (na)mabu 
blood: namai 
blow: tipu 
bone: pae 
bone: pai 
breast: uka 
breast: unkʷame 
breast: unkam(e) 
brother: andoɟa 
brother: andoiɟa 
brother: andoija 
brother: andoja 
brother: anduɟa 
brother: anduja 
brother: anuiɟa 
brother: anuija 
brother: faniandoi 
brother: ɟiɟake 
brother: jijake 
brother: nuja 
brother: riɟata 
brother: riatap 
brother: rijata 
brother: riyat 
brother: φaniandoi 
burn: mbaruru 
burn: nindi 
burn: rane 
burn: sasora 
chest: opan 
chest: popan 
chest: popanu 
child: arikain 
child: arikainye 
child: kao 
cloud: mandep 
cold: bawati ≈ bavati 
cold: nanata 
cold: nanayao 
cold: sansemu 
cold: sansimu 
come: de/mo-re 
come: inde 
come: nde 
come: -nde 
come: (n-)de 
come: n-de 
come: nore 
come: no-re 
come: -re 
count: ndarot 
count: ndator 
count: rato 
count: rator 
crocodile: onkor 
crocodile: wankor 
crocodile: wankore 
crocodile: wankori 
crocodile: wankuri 
cut: raɟo 
cut: ratota 
cut: rausyi 
dance: -sare 
dark: kaumu 
dark: kaumur 
dark: sandoram 
dark: tandoram 
day: sansima 
die: kakai 
die: nowe 
dog: make 
dog: maye 
drink: ramanan 
drink: ramenan 
dry: rainyat 
dry: ranina 
dry: raninae 
dry: ranyinyae 
dry: ranyinyai 
ear: abarome 
ear: amarakoa 
ear: amara-koa 
ear: amarikoam 
ear: amari-koam 
ear: amarokoa 
ear: amaro-koa 
earth: kakopa 
earth: (ka)kopa 
earth: kofa 
earth: kopa 
earth: koφa 
earth: min 
earth: nuje 
eat: rai 
eat: rais 
eat: raisha 
eat: raisy 
egg: kami 
egg: kamige 
egg: kamije 
excrement: kara 
eye: ami 
eye: n-ame 
eye: nami 
eye: n-ami 
face: namun 
fall: maje 
fall: mbi 
far: ujayawain 
father: aidea 
father: nɟai 
father: nɟaiɟa 
father: njai 
father: njaija 
father: nja(i)ja 
father: njai(ja) 
fear: ɟaniwa 
fear: janiva ≈ janiwa 
finger: kakun 
finger: kawi 
fingernail: mire 
fire: nona 
fire: rao 
fire: tanam 
fire: tanam(e) 
fish: aɟ 
fish: aj 
fish: diɟa 
fish: dija 
fish: ɟiɟa 
fish: ɟian 
fish: jian 
fish: jija 
five: na 
five: nadani 
five: nai 
five: radani 
flower: u(v)we 
fly (n.): amani 
fly (v.): bariri 
fog: kamayo 
foot: ado 
foot: aido 
foot: ajo 
foot: aɟo 
foot: najo 
four: mambi 
four: mambis 
fruit: mane 
full: ntai 
full: tai 
full: tari 
give: ra 
give: -ra 
give: raujande 
good: ko 
good: ngo 
grass: insumai 
grass: tantumai 
grass: unsumai 
grass: unsumaje 
grass: unsume 
green: keke 
hair: akaribuin 
hair: akari-buin 
hair: akariguin 
hair: akari-guin 
hair: amara-koa 
hair: bwin 
hair: waribine 
hair: wari-bine 
hair: wayariguin 
hair: wayari-guin 
hair: wayarißin 
hand: anem 
hand: ane-m(e) 
hand: nanem 
head: akari 
head: kugwa 
head: uga 
hear: ankabayar 
hear: em 
hear: ranaum 
hear: ranaun 
hear: raranib 
hear: raraniß 
hear: raraniv 
heavy: manke 
here: naiso 
he/she: mamo 
he/she: m- ≈ n- 
he/she: mo 
he/she: mo- 
he/she: napi(dje) 
he/she: p-a 
he/she: po 
he/she: ue-m 
he/she: we 
he/she: wepa(ra) 
hit: anepata 
hit: rakaro 
hit: raman 
hit: ranepat 
hit: tanepat 
hold: raɟa 
hold: rai 
hold: raiɟa 
hold: raija 
hold: raja 
hold: ratiar 
hole: atem 
house: yabar 
house: yaßar 
house: yavar 
house: yawar 
house: yaware 
how: ruwijirati 
how: ruwi-maisya 
I: i- 
I: n- 
I: rei 
I: ri 
I: rinai 
I: ri-sy(a) 
I: ri-syo 
I: sho 
I: šo 
kill: raubai 
kill: raubaisy 
kill: raubai(sy) 
kill: raußai 
kill: rauvai 
kill: tabais 
knee: bugam 
knee: bukam 
knee: bukami 
laugh: guwe 
laugh: ogeße 
laugh: ogeve 
laugh: ugeße 
laugh: ugeve 
laugh: uguen 
laugh: uguwe 
leaf: bara (?) 
leaf: bau 
leaf: ba(u) 
left: kakai-je 
leg: najo 
leg: naɟo 
lie: -naki 
lie: -neki 
lightning: ikaß 
lightning: ikav 
lightning: ißak 
lightning: ivak 
lightning: ivak ≈ iwak 
lightning: sibak 
lightning: sißak 
lightning: sivak 
lip: nawao-kea 
live: tena 
long: gwaraßai 
long: gwaraßain 
long: gwaravai 
long: gwaravain 
long: gwarawin 
long: gwayaßain 
long: gwayavain 
long: soɟain 
long: sojain 
long: ßayaßait 
long: vayavait 
long: waiawan 
long: wayaßa 
long: wayava 
louse: em 
louse: eme 
man: aina 
man: ana 
man: anya 
man: an(y)a 
man: ka-mena-wie 
man: tanya 
man: t-anya 
many: kawasae 
moon: ɟaon 
moon: emba 
moon: embae 
moon: jaon 
moon: semba 
mosquito: anatatau 
mosquito: anatokau 
mosquito: andakauku 
mosquito: anyira 
mosquito: pikarari 
mother: awea 
mother: nko 
mother: nkoa 
mother: nkua 
mouth: aßa 
mouth: ava 
mouth: awa 
mouth: n-awao 
name: tam 
name: tame 
name: tam(e) 
name: tami 
near: pararai 
neck: akuin 
neck: akumbasin 
neck: isis 
new: riat 
new: wain 
new: wanin 
new: wanine 
new: wanyin 
night: mamane 
night: nama 
night: namane 
nose: amantu 
nose: amantum 
nose: amtum 
nose: atum 
not: joena 
not: joen(a) 
old: a:nane-mie 
old: paitune-pie\ 
old: waina 
old: wanya 
old: wisin 
old: wusin 
old: wusine 
old: wusyine 
one: entabo 
one: intabo 
one: ntabo 
one: ntaßo 
one: ntavo 
one: taßo 
one: tavo 
one: utabo 
person: batan 
person: batan(e) 
person: nanawa 
person: ßatan 
person: vatan 
person: vatane 
play: baon 
play: papaki 
push: ratuɟa 
push: ratuja 
rain: maru 
rain: maru(-je) 
rat: kae 
rat: kaimar 
rat: kaimir 
rat: kamo 
red: niɟa 
red: niɟam 
red: nija 
red: nijam 
red: niyam 
right: kove 
ripe: mawit 
ripe: mawita 
road: anandi 
road: nandoi 
road: unandi 
road: unandoi 
road: unani 
root: kaune 
root: kawen 
root: pif 
root: pi:p 
root: piːp 
root: piφ 
rope: wai 
rope: wati 
round: kubakube 
round: kubakub(w)e 
sand: ayau 
sand: babon 
sand: bavone 
sand: matanebon 
sand: nayab 
sand: nayaße 
sand: nayave 
sand: nibugane 
sand: nuishe 
sand: nusye 
sand: ugai 
sand: wavone 
sand: wawone 
say: ayao 
say: m-are 
say: raura 
sea: anea 
sea: aneae 
sea: babata 
sea: warave 
seed: kami 
see: ndai 
see: rae 
see: raen 
see: rae(n) 
see: rain 
see: rato 
sharp: si.u 
short: arapa 
short: tumai 
short: tumain 
short: tumai(n) 
shoulder: aibam 
shoulder: aibiam 
shoulder: aißam 
shoulder: aivam 
shoulder: aßam 
shoulder: avam 
shoulder: kumane 
sing: -keɲa 
sing: -ke(-nya) 
sister: andoɟa 
sister: andoiɟa 
sister: andoija 
sister: andoja 
sister: anduɟa 
sister: anduja 
sister: anuiɟa 
sister: anuija 
sister: faniandoi 
sister: ɟiɟake 
sister: jijake 
sister: riɟata 
sister: riatap 
sister: rijata 
sister: riyat 
sister: φaniandoi 
sit: tuna 
sit: -tuna 
sit: tunu 
skin: kea 
sky: nam 
sky: naum 
sky: naum(e) 
sleep: nei 
sleep: niki 
sleep: -niki 
small: mamau 
small: maumau 
small: tuban 
small: tubanet 
small: tuban(et) 
smoke: kiɟau 
smoke: kijau 
smoke: kijo 
smoke: kiɟo 
smoke: kiyau 
snake: tawae 
snake: unane 
spit: tanto 
spit: tantum 
spit: tatom 
spit: tautom 
split: rabau 
split: raporar- 
stand: seo 
stand: seontet 
star: tum 
stick: isyo 
stone: oram 
stone: oroma 
stone: oroman 
sun: uma 
sweet: manaban 
sweet: manava 
sweet: manavan 
sweet: naume 
swim: koßoni 
swim: kubuni 
swim: kußuni 
swim: mana eɟa 
swim: mana radan 
swim: mana raiɟa 
swim: suija 
tail: ateva 
tail: ate-va 
take: rako 
there: umba 
there: wato 
they: na- 
they two: yo 
they: u- 
they: wenanau 
they: wo 
thick: tafeya 
thick: tapapekan 
thick: tapekan 
thick: taφeya 
thin: manini 
thin: maniniɟam 
thin: maninian 
thin: maninijam 
thin: sambera 
thin: samberam 
this: so 
thou: no 
thou: ny-a 
thou: nyo 
thou: uein 
thou: ue-in 
thou: we 
thou: wea 
thou: wi-nya 
thou: wi-nyo 
three: madet 
three: mainde 
three: mande 
three: manded 
three: mandei 
three: mandet 
thunder: kaitir 
thunder: katitir 
thunder: kunduma 
tongue: nawaná 
tooth: atu 
tooth: n-atu 
tree: mote 
tree: nyo 
tree: ɲo 
two: diru 
two: ɟiru 
two: jiru 
two: rurum 
unripe: kamuram 
vomit: neno 
vomit: nine 
vomit: ninyo 
vomit: nyunu 
walk: moronto 
walk: nansanan 
walk: nantanan 
walk: nyansanan 
walk: poroto 
walk: poto 
walk: to 
warm: mamoa 
warm: mamoan 
warm: mamua 
warm: mamuan 
wash: kovoni 
wash: kubuni 
wash: kuvuni 
wash: mana eja 
wash: mana radan 
wash: mana raija 
wash: ranama 
wash: ranamai 
wash: ranamat 
wash: randondo 
wash: rapapi 
