arm: kwutis 
bad: ru:ne\ 
bad: ruːneʔ 
belly: tëfau 
belly: təfau 
bird: yafren 
black: twautëf 
black: twautəf 
blood: nawe 
bone: kumialen 
breast: numar 
child: nini 
come: an 
dog: pi:ren 
dog: piːren 
earth: taf 
ear: yampër 
ear: yampər 
egg: walilip 
eye: kwuriyaf 
father: aiye 
fire: weli 
give: a 
good: kelfine 
head: nülü 
head: nülü 
he/she: n- 
he/she: rën 
he/she: rən 
he/she: w- 
I: k- 
I: ki 
leg: kiriu 
louse: kwurël 
louse: kwurəl 
man: ru:til 
man: ruːtil 
moon: nu:lai 
moon: nuːlai 
mother: ama 
nose: minit 
rain: yaf 
red: nompine 
see: la 
skin: ternan 
smoke: tumur 
star: tauru 
stone: krapene 
sun: kwipli 
they: l- 
they: rël 
they: rəl 
thou: f- 
thou: yi 
thou: yifi 
tongue: yimyau 
tooth: ya:nët 
tooth: yaːnət 
tree: nimpip 
two: wiyëm 
two: wiyəm 
walk: ale 
water: tëpal 
water: təpal 
we: kufu 
we: ku-fu 
we: m- 
we two (incl.): kw- 
white: fiyu 
wind: nampuf 
woman: wapur 
you: yi-fi 
