all: atma\ia 
arm: n-erova 
ashes: ol-wama 
ashes: uama 
ashes: uta 
back: n-etoto 
back: otata 
bad: ab\angunu 
bad: amoririn 
bark: iwo-a\ia 
bark: neiya 
belly: newe 
belly: ne-wuru 
belly: oba 
belly: vuru 
big: abuere 
big: jang.ngome 
bird: sai 
bitter: sense 
black: asai 
blood: isere 
bone: natura 
bone: netura 
bone: ratura 
branch: awaa 
branch: iwo-auta 
breast: djo\u 
breast: jo\u 
breast: ɟoku 
brother: mba\a 
brother: yosiri 
burn: i\enari 
butterfly: a\aba 
butterfly: aawa 
cheek: wa\ua 
cheek: wauwa 
chest: n-ensina 
chest: nesina 
chest: osiena 
child: tato 
chin: nenda\era 
chin: nendaere 
cloud: were\iasiere 
cold: ardjeri 
cold: arɟeri 
cold: argiri 
come: am(b)ui 
come: ambul 
come: ambuo 
come: amui 
come: emande 
come: sete 
crocodile: matuati 
day: arawo 
dog: asi 
drink: (meb)\ara 
drink: nemara-nengwarono 
drink: nenggwarano 
dry: engge 
dry: eŋge 
dry: foa 
dry: oa 
ear: nevira 
ear: newira 
ear: obira-newiranda 
ear: ofira 
ear: ovira 
earth: uasasi 
earth: waesi 
earth: wasasi 
eat: nenem- 
eat: oro- 
egg: ese 
egg: ete 
elbow: neoa\enggeme 
elbow: newaenggeme 
excrement: iri 
eye: ne-mbute 
eye: ne-mbutu 
eye: ni-mbutu 
face: nemor\amba 
far: abisina 
far: avisine 
father: nane 
fat (n.): natimo 
feather: nasuru 
feather: nesuru 
fingernail: dendere 
fingernail: jendere 
fingernail: kasa-bura 
finger: (ne-)\amongga 
finger: (ne-)oro-amungga 
finger: nerwamunggu 
fire: iboro 
fire: ivoro 
fire: iworo 
fish: heyr 
fish: uratu 
fly (n.): maptambura 
fly (n.): matambura 
fly (n.): naporo 
fly (v.): wene 
foot: (ne-)oro 
foot: (ne-)\oro 
foot: (o-)\oro 
foot: (o)ʔoro 
forehead: n-engguwu 
forehead: n-imbura 
forest: warene 
four: ai 
fruit: atu 
fruit: imaroro 
fruit: (iwo-)atu 
give: tomnai 
give: tomnei 
good: amaria 
